 10007788, 47.0, 40.0, 0.41729, 456.23025
 10003270, 46.0, 27.8, 0.40844, 507.68330
 10007798, 30.0, 18.2, 0.41295, 459.84150
 10007795, 30.0, 20.0, 0.40722, 528.60030
 10006840, 27.0, 14.0, 0.41573, 478.32608
 10007798, 27.0, 17.1, 0.41213, 466.05274
 10007822, 26.0, 19.3, 0.40338, 457.27826
 10004113, 26.0, 14.7, 0.41238, 472.77451
 10007805, 24.0, 15.7, 0.40883, 515.97035
 10007784, 23.0, 22.5, 0.41438, 500.51009
 10007157, 22.0, 18.2, 0.41549, 466.51305
 10007799, 21.0, 25.0, 0.41523, 447.67395
 10007850, 19.0, 13.3, 0.41664, 464.14861
 10007157, 18.0, 14.3, 0.41530, 484.37433
 10007146, 17.0, 16.7, 0.40575, 541.69571
 10006840, 14.0, 16.0, 0.41341, 498.71077
 10005343, 11.0, 10.5, 0.41543, 463.97088
 10007785, 9.0, 14.3, 0.41569, 483.97547
 10000886, 7.0, 11.1, 0.41226, 483.41600
 10000961, 6.0, 9.4, 0.41258, 463.20923
 10003957, 2.0, 2.6, 0.41001, 493.51364
 10007159, 2.0, 2.5, 0.41284, 548.73636
 10007155, 1.0, 2.3, 0.41668, 446.31612
 10007166, 1.0, 2.1, 0.29920, 483.49364
 10007138, 0.0, 0.0, 0.41389, 453.95758
