,2* + 1* Output (%),4* Output (%),Average Citations per Submission,Income per Submission (millions)
0,16.0,30.0,25.072847682119207,0.4679728741721855
1,14.0,50.0,40.975103734439834,0.30330208713692947
2,28.0,20.0,9.868421052631579,0.09373742105263157
3,6.0,50.0,81.48344370860927,0.41457212582781455
4,15.0,22.0,34.945454545454545,0.18434712727272726
5,15.0,25.0,28.453488372093023,0.3367756395348837
6,8.0,57.0,93.71698113207547,0.6179264292452831
7,9.0,36.0,25.742857142857144,0.6132423142857142
8,14.0,37.0,29.45,0.43596855
9,18.0,32.0,36.04040404040404,0.3930538282828282
10,76.0,1.0,6.714285714285714,0.03551105714285715
11,14.0,36.0,44.16867469879518,0.3858795542168674
12,25.0,38.0,33.706422018348626,0.3082645779816513
13,20.0,39.0,63.1578947368421,1.6004815789473685
14,18.0,46.0,35.98412698412698,0.18438271604938272
15,20.0,43.0,32.301435406698566,0.23850898325358857
16,33.0,17.0,19.555555555555557,0.3543758000000001
17,26.0,25.0,29.1,0.29180553000000004
18,18.0,38.0,27.61061946902655,0.20626548672566372
19,8.0,57.0,79.56842105263158,0.993489136842105
20,62.0,2.0,11.538461538461538,0.06323742307692308
21,14.0,44.0,25.285714285714285,0.4083968571428572
22,15.0,32.0,55.69230769230769,0.3096111025641025
23,30.0,38.0,14.55893536121673,0.15417751330798476
24,13.0,37.0,30.48780487804878,0.21894473170731704
25,20.0,39.0,29.681818181818183,0.4284130636363636
26,17.0,42.0,23.09547738693467,0.2979312864321608
27,19.0,34.0,21.76536312849162,0.30577084357541895
28,32.0,24.0,33.5,0.25176742592592594
29,21.0,25.0,27.485549132947977,0.20838015606936416
30,24.0,37.0,42.94059405940594,0.4885843762376238
31,30.0,23.0,55.78846153846154,0.2198141826923077
