,2* + 1* Output (%),4* Output (%),Average Citations per Submission,Income per Submission (millions)
0,39.0,16.0,10.28125,0.063962203125
1,18.0,11.0,3.875,0.06554483750000001
2,62.0,5.0,3.13265306122449,0.05129243877551021
3,32.0,21.0,15.189655172413794,0.028924827586206896
4,13.0,29.0,15.312925170068027,0.07730938775510204
5,58.0,8.0,3.740740740740741,0.09430255555555556
6,48.0,6.0,3.72,0.05855768
7,13.0,31.0,10.127659574468085,0.11228165957446809
8,35.0,17.0,15.429906542056075,0.09383128971962616
9,11.0,48.0,15.433566433566433,0.16090460139860138
10,74.0,0.0,2.1666666666666665,0.00039516666666666666
11,38.0,15.0,7.264150943396227,0.06360712264150944
12,58.0,5.0,9.6,0.092814725
13,43.0,9.0,13.387096774193548,0.03283336559139785
14,77.0,4.0,3.1142857142857143,0.006206542857142857
15,14.0,19.0,6.614035087719298,0.06853554385964912
16,20.0,28.0,18.272727272727273,0.11330898484848484
17,63.0,4.0,8.375,0.02988325
18,90.0,0.0,0.09090909090909091,0.002514818181818182
19,29.0,22.0,14.6015625,0.10559064062500001
20,24.0,23.0,6.243243243243243,0.03489067567567568
21,32.0,15.0,8.92156862745098,0.10002037254901959
22,61.0,9.0,4.433333333333334,0.014996899999999999
23,53.0,8.0,7.64,0.08590769
24,59.0,8.0,5.465116279069767,0.013687767441860463
25,47.0,23.0,8.022222222222222,0.04677811111111112
26,6.0,56.0,9.694736842105263,0.26385838421052626
27,54.0,3.0,15.454545454545455,0.02455540909090909
28,19.0,18.0,12.42056074766355,0.04651189719626169
29,12.0,32.0,12.849315068493151,0.07174558219178082
30,46.0,9.0,12.263157894736842,0.08558036842105264
31,9.0,36.0,16.539823008849556,0.1665347168141593
32,14.0,32.0,6.988505747126437,0.14018003448275862
33,96.0,0.0,1.1875,0.0196678125
34,35.0,15.0,3.838235294117647,0.03310430882352941
35,50.0,10.0,13.25,0.0386455625
36,3.0,35.0,5.604651162790698,0.06360084883720929
37,70.0,0.0,2.5833333333333335,0.007829541666666667
38,50.0,0.0,5.970588235294118,0.031933
39,4.0,61.0,20.65560165975104,0.192
40,70.0,0.0,3.4347826086956523,0.02898560869565217
41,50.0,6.0,7.163934426229508,0.05491672131147542
42,6.0,48.0,14.494252873563218,0.21521786781609198
43,33.0,4.0,4.888888888888889,0.038925388888888884
44,52.0,6.0,5.414507772020725,0.01864626424870466
45,13.0,46.0,9.817204301075268,0.20370162365591396
46,58.0,6.0,5.666666666666667,0.008037037037037037
47,12.0,37.0,14.168,0.15630399999999994
48,66.0,6.0,3.4186046511627906,0.029315558139534886
49,25.0,13.0,7.391752577319588,0.11357334020618555
50,11.0,53.0,14.802521008403362,0.2197002941176471
51,33.0,20.0,14.135135135135135,0.027053243243243246
52,19.0,15.0,16.183673469387756,0.10774808163265306
53,36.0,20.0,14.13888888888889,0.025815833333333333
54,9.0,39.0,9.728571428571428,0.23035144285714287
55,17.0,30.0,7.482758620689655,0.08527879310344826
56,55.0,1.0,5.27906976744186,0.06713427906976743
57,8.0,47.0,10.76923076923077,0.1809729326923077
58,21.0,44.0,13.745664739884393,0.22805537572254336
59,92.0,0.0,2.652173913043478,0.04162504347826087
60,86.0,0.0,2.5,0.053288406249999996
61,38.0,11.0,9.028571428571428,0.04858571428571428
62,27.0,19.0,12.0,0.19414041025641024
63,55.0,3.0,4.411764705882353,0.06457723529411764
64,3.0,56.0,13.284210526315789,0.06508236842105264
65,32.0,13.0,6.9423076923076925,0.17955659615384617
66,91.0,0.0,2.5217391304347827,0.05274095652173913
67,73.0,0.0,5.422535211267606,0.042285915492957744
68,10.0,44.0,8.7265625,0.14850586718749997
69,26.0,22.0,8.676923076923076,0.1368854615384615
70,21.0,32.0,6.162162162162162,0.2530071621621621
71,13.0,40.0,10.382165605095542,0.16144015286624205
72,43.0,3.0,14.794871794871796,0.12143166666666669
73,16.0,36.0,9.542635658914728,0.11496881395348836
74,56.0,3.0,3.3333333333333335,0.03542233333333333
75,22.0,23.0,5.038961038961039,0.12157946753246754
76,72.0,0.0,2.2580645161290325,0.036100870967741935
77,23.0,22.0,8.551282051282051,0.09653994871794873
78,49.0,8.0,11.218181818181819,0.046265363636363646
79,49.0,11.0,5.056338028169014,0.05137194366197183
80,65.0,4.0,6.333333333333333,0.06691666666666668
81,26.0,21.0,16.961038961038962,0.11328985714285714
82,58.0,8.0,11.838709677419354,0.032929161290322584
83,21.0,26.0,15.037037037037036,0.16056392592592594
84,79.0,5.0,3.739130434782609,0.027043478260869565
85,73.0,4.0,3.125,0.077527675
86,20.0,40.0,5.797101449275362,0.09322265217391305
87,28.0,12.0,9.610526315789473,0.07089485263157895
88,35.0,9.0,6.35,0.13249274285714285
