UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007144,25,,8,0,0,0,3001,0
10007144,25,,9,0,28782,0,10608,5950
10007144,25,,10,0,0,0,0,11592
10007144,25,,13,2449,1224,11935,2164,42117
10007823,25,,1,124913,31483,0,0,0
10007823,25,,2,0,46119,12372,21569,0
10007823,25,,4,47600,4978,12760,12983,5153
10007823,25,,5,0,12100,14550,18050,13875
10007792,25,,1,229528,319610,230506,206777,101618
10007792,25,,2,121783,146564,279533,2016,72608
10007792,25,,3,36291,20420,45545,251656,397702
10007792,25,,4,221782,266544,197971,195133,138064
10007792,25,,5,36646,10422,15290,15271,40413
10007792,25,,6,130727,0,320217,396649,342541
10007792,25,,7,0,4445,28072,0,0
10007792,25,,9,0,36747,3341,0,8125
10007792,25,,11,0,0,5762,5048,841
10007792,25,,12,9782,12924,0,0,35914
10007792,25,,13,3235,0,0,6416,110
10002718,25,,1,0,157008,163793,179683,43569
10002718,25,,2,56140,76095,34343,992,55837
10002718,25,,4,0,17501,1208,358,0
10002718,25,,5,4306,0,0,0,0
10002718,25,,6,4550,945,7985,47265,0
10002718,25,,13,6653,1151,0,0,0
10007146,25,,2,0,1500,0,0,6646
10007146,25,,3,0,0,18339,17675,8123
10007146,25,,4,15446,36131,32612,30088,50465
10007146,25,,6,8974,20466,4674,2322,5961
10007146,25,,12,51963,40203,2535,0,0
10007146,25,,13,7393,0,0,0,0
10007148,25,,2,8508,1492,52736,41263,60775
10007148,25,,4,65197,85957,49417,32852,64278
10007149,25,,1,0,5518,2207,12644,34318
10007149,25,,2,0,9590,0,0,742
10007149,25,,3,0,4670,2314,0,0
10007149,25,,4,0,62751,47119,67781,52486
10007149,25,,6,55530,26363,20756,-7757,0
10007149,25,,11,0,6634,291,0,0
10007149,25,,12,0,0,0,0,26364
10007149,25,,13,0,0,7199,9451,5572
10003645,25,,1,639879,786574,524498,424040,443325
10003645,25,,2,138730,92860,38075,13362,15955
10003645,25,,3,73613,65762,27794,32580,34094
10003645,25,,4,141698,86990,61282,171839,121833
10003645,25,,5,44,0,0,0,154227
10003645,25,,6,5646,49171,107886,148197,170789
10003645,25,,10,10557,2583,450,449,449
10003645,25,,12,5507,4708,103044,69078,81001
