UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007784,36,,4,68000,52000,17000,-16000,1000
10007784,36,,6,0,0,0,1000,75000
10007784,36,,13,96000,66000,51000,5000,0
10004063,36,,1,378134,84891,73348,20605,97673
10004063,36,,2,0,0,0,15327,0
10004063,36,,5,29859,6221,35214,0,0
10004063,36,,6,580601,1478396,502932,278660,308931
10004063,36,,7,0,0,0,16756,14052
10004063,36,,8,805,1005,1674,3163,865
10004063,36,,9,0,0,0,13932,14028
10004063,36,,12,3394,358,19723,119569,116725
10004048,36,,1,0,0,52388,25900,0
10004048,36,,4,5711,8197,0,0,0
10004048,36,,5,12000,0,0,0,0
10004048,36,,13,0,23591,0,1040,0
10004078,36,,1,130248,30381,18796,12543,18953
10004078,36,,3,16772,0,0,9672,0
10004078,36,,4,40,19210,18796,5783,0
10004078,36,,5,39,18923,18515,5697,0
10004113,36,A,1,134060,285349,244812,28400,519897
10004113,36,A,2,17171,0,0,0,0
10004113,36,A,3,-2,12872,174,9571,0
10004113,36,A,4,156777,53079,41928,175698,61319
10004113,36,A,5,12389,51658,78886,30354,46831
10004113,36,A,8,0,0,0,5953,0
10004113,36,A,9,225,0,0,0,0
10004113,36,A,12,0,0,0,5223,0
10004113,36,A,13,278707,263727,147192,9697,-40237
10004113,36,B,1,26185,151048,49817,493122,708204
10004113,36,B,2,24894,40,-40,7914,0
10004113,36,B,3,0,3733,60544,-17636,87456
10004113,36,B,4,13529,60066,0,28973,22976
10004113,36,B,5,0,0,0,18048,55514
10004113,36,B,6,-989,39997,19126,0,-26928
10004113,36,B,9,40,40,22967,2468,0
10004113,36,B,12,1679,0,0,0,0
10004113,36,B,13,-5049,28800,-20577,84090,1060
10004351,36,,1,0,40203,38419,0,104466
10004351,36,,2,0,0,0,2158,13184
10004351,36,,4,0,0,0,0,48588
10004351,36,,13,0,35261,15470,1234,0
10007799,36,,1,105725,215572,194164,106109,104187
10007799,36,,2,31108,-74,14327,15673,0
10007799,36,,4,6275,9136,2160,0,0
10007799,36,,6,179889,32868,168918,190910,301705
10007799,36,,13,1000,0,0,0,0
10001282,36,A,1,1000,0,14000,14000,4000
10001282,36,A,4,0,0,6000,15000,0
10001282,36,A,5,0,6000,0,0,0
10001282,36,A,13,0,0,0,2000,0
10001282,36,B,1,126000,183000,1000,0,0
10001282,36,B,4,12000,15000,19000,38000,62000
10001282,36,B,5,0,9000,0,0,0
10007154,36,,1,19000,76000,143000,235000,202000
10007154,36,,5,0,0,9000,2000,3000
10007154,36,,6,1000,1000,0,0,0
10007154,36,,12,0,0,0,0,3000
10004797,36,,1,37929,20104,0,13368,16285
10004797,36,,2,0,0,0,1428,0
10004930,36,,1,5186,1543,0,22915,97569
10004930,36,,4,0,0,1500,0,0
10007155,36,,1,10349,21514,160357,237195,99798
10007155,36,,2,0,19291,0,16169,12423
10007155,36,,3,0,0,789,6637,0
10007155,36,,6,13112,209238,185078,367838,-34101
10007155,36,,13,-1308,0,0,0,0
10007776,36,,1,9459,13134,9306,78778,38276
10007776,36,,2,598,0,0,0,4189
10007776,36,,4,154,0,0,0,0
10007776,36,,10,0,0,0,320628,0
10007776,36,,13,1519,134918,135894,0,0
10005553,36,,1,1466,117415,341200,86302,52471
10005553,36,,2,17441,23825,11794,12164,0
10005553,36,,4,256,251,0,0,0
10005553,36,,6,59285,52144,68997,100212,68809
10007156,36,,1,16548,138142,285281,336270,99942
10007156,36,,2,1569,1000,8260,1509,0
10007156,36,,3,0,0,12556,4079,8040
10007156,36,,4,10670,56498,171884,184273,19025
10007156,36,,5,9112,29261,41323,-370,0
10007156,36,,6,41005,-3644,0,0,0
10007156,36,,9,0,0,0,0,3648
10007156,36,,13,1031,0,0,0,0
10007157,36,,1,221098,83833,171175,124945,24463
10007157,36,,2,42,0,18102,23036,16208
10007157,36,,3,53956,41954,52174,27268,8784
10007157,36,,4,31438,46266,42542,59896,79950
10007157,36,,5,2731,18903,52569,38837,13562
10007157,36,,6,453700,278712,129297,175324,149030
10007157,36,,8,5980,0,0,0,0
10007157,36,,9,0,0,0,0,3268
10007157,36,,11,23264,5901,0,0,0
10005790,36,,1,253579,197727,18467,39755,133460
10005790,36,,2,7497,0,0,0,1391
10005790,36,,4,43317,238653,115521,46001,45912
10005790,36,,5,20702,73970,22216,653,0
10005790,36,,6,641391,799298,872490,125954,279638
10005790,36,,9,0,0,20785,22087,787
10005790,36,,11,0,0,1920,0,0
10005790,36,,13,85739,74,0,0,0
10006299,36,,1,5172,9784,1083,0,0
10006299,36,,2,0,0,0,13195,0
10006299,36,,3,0,0,15950,0,0
10006299,36,,4,0,0,0,9715,0
10007159,36,,1,98423,60425,18662,1839,0
10007159,36,,2,0,634,0,0,0
10007159,36,,4,0,1404,3209,327,0
10007159,36,,9,5002,0,0,0,0
10007159,36,,12,0,0,9619,844,0
10007159,36,,13,11482,463,3247,513,8582
10007806,36,,1,106592,110705,94036,33227,121636
10007806,36,,2,0,20720,82726,92453,103564
10007806,36,,4,0,0,20600,4425,-25
10007806,36,,6,0,0,0,498,18850
10007806,36,,13,7223,0,7782,6566,9498
10007164,36,,1,104090,155300,157643,362223,703764
10007164,36,,2,18451,12374,1037,13051,0
10007164,36,,4,17654,5024,136,0,8466
10007164,36,,5,16812,18229,15100,0,0
10007164,36,,6,0,0,23724,20083,49961
10007164,36,,13,1896,11458,3706,1904,0
10006566,36,,4,0,0,23000,0,0
10007165,36,,1,213439,261346,119913,139328,231591
10007165,36,,2,35245,-267,31289,37308,16639
10007165,36,,3,0,0,0,5902,0
10007165,36,,4,4936,39478,9947,43563,38140
10007165,36,,5,34595,0,4810,13319,33282
10007165,36,,9,15166,58413,742,2367,22686
10007165,36,,10,0,0,8028,0,0
10007165,36,,11,0,0,0,4260,0
10007165,36,,12,8792,0,0,17330,613
10003614,36,,1,0,0,0,38915,35239
10003614,36,,2,0,3380,7620,21300,1468
10007166,36,,1,2500,0,0,0,0
10007166,36,,2,0,0,17775,0,0
10007166,36,,4,0,0,0,0,10059
10007166,36,,5,11460,0,13151,7220,489
10007166,36,,6,122761,160209,86285,79847,65745
10007166,36,,11,0,988,0,0,2100
10007166,36,,13,4681,0,0,0,1333
10007772,36,,1,149700,191544,109691,135008,33211
10007772,36,,2,40584,96126,47914,8786,29752
10007772,36,,4,40618,21404,21478,85340,22957
10007772,36,,5,3884,4366,7790,0,0
10007772,36,,6,57489,109575,52341,10285,0
10007772,36,,13,0,0,0,0,9640
10007794,36,,1,355653,283273,318578,193649,590087
10007794,36,,2,14823,16779,7605,3887,6459
10007794,36,,4,11484,13467,19658,0,0
10007794,36,,5,61052,0,0,0,0
10007794,36,,6,105886,72658,46146,3209,34848
10007794,36,,9,0,0,2501,0,0
10007794,36,,12,0,998,0,0,0
10007794,36,,13,536,667,18959,33748,2556
10007762,36,,1,0,0,46954,650,0
10007762,36,,2,2876,4348,14325,70,0
10007762,36,,4,0,0,11170,4830,0
10007762,36,,5,0,0,7104,-767,5663
10007762,36,,6,41584,29777,25867,-20670,0
10005337,36,,1,41367,3270,0,0,0
10005337,36,,2,0,680,0,0,0
10005337,36,,10,0,556,5530,0,0
10005337,36,,13,0,3070,0,0,0
10005500,36,,1,700,0,0,19271,4152
10005500,36,,2,0,800,93,527,0
