Rank,Title,Type,Issn,SJR,SJR Best Quartile,H index,Total Docs. (2014),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Categories
1,Nature Reviews Genetics,journal,"ISSN 14710056, 14710064",29.06,Q1,292,227,618,8016,9482,227,39.14,35.31,United Kingdom,Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)
2,Nature Reviews Immunology,journal,ISSN 14741733,27.41,Q1,316,184,595,8289,8431,206,38.88,45.05,United Kingdom,Immunology (Q1); Medicine (miscellaneous) (Q1)
3,Nature Reviews Cancer,journal,ISSN 1474175X,24.713,Q1,355,195,565,9726,9282,231,39.99,49.88,United Kingdom,Cancer Research (Q1); Oncology (Q1)
4,Nature Reviews Molecular Cell Biology,journal,"ISSN 14710072, 14710080",24.474,Q1,352,171,568,8884,8008,260,31.3,51.95,United Kingdom,Cell Biology (Q1); Molecular Biology (Q1)
5,Nature Genetics,journal,ISSN 10614036,23.792,Q1,496,303,988,9836,22029,742,27.96,32.46,United Kingdom,Genetics (Q1)
6,Journal of Finance,journal,"ISSN 15406261, 00221082",21.621,Q1,233,74,193,3508,1621,190,6.81,47.41,United Kingdom,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)
7,Econometrica,journal,"ISSN 00129682, 14680262",20.791,Q1,152,62,196,2713,1079,187,4.81,43.76,United Kingdom,Economics and Econometrics (Q1)
8,Nature,journal,"ISSN 14764687, 00280836",18.64,Q1,1011,2673,8165,41707,119115,4446,26.35,15.6,United Kingdom,Multidisciplinary (Q1)
9,Nature Nanotechnology,journal,ISSN 17483387,17.133,Q1,242,273,622,6554,14342,489,27.13,24.01,United Kingdom,"Atomic and Molecular Physics, and Optics (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)"
10,Nature Biotechnology,journal,ISSN 10870156,16.443,Q1,361,385,1075,6113,13487,525,25.11,15.88,United Kingdom,Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Molecular Medicine (Q1)
11,Nature Cell Biology,journal,ISSN 14657392,15.826,Q1,313,187,665,7092,9637,543,16.3,37.93,United Kingdom,Cell Biology (Q1)
12,Nature Methods,journal,"ISSN 15487105, 15487091",15.179,Q1,224,432,1049,7013,15113,591,27.14,16.23,United Kingdom,Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Molecular Biology (Q1)
13,Academy of Management Annals,journal,"ISSN 19416520, 19416067",15.065,Q1,35,12,33,2671,481,28,14.42,222.58,United Kingdom,Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1)
14,Nature Materials,journal,"ISSN 14764660, 14761122",14.946,Q1,356,253,862,6927,18093,685,23.08,27.38,United Kingdom,Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)
15,Nature Reviews Neuroscience,journal,"ISSN 14710048, 1471003X",14.886,Q1,337,202,717,9333,6723,274,20.75,46.2,United Kingdom,Neuroscience (miscellaneous) (Q1)
16,Nature Physics,journal,ISSN 17452473,14.719,Q1,202,265,817,5227,9214,569,16.03,19.72,United Kingdom,Physics and Astronomy (miscellaneous) (Q1)
17,Nature Photonics,journal,ISSN 17494885,14.556,Q1,216,237,719,6711,13433,503,29.45,28.32,United Kingdom,"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
18,Nature Immunology,journal,"ISSN 15292908, 15292916",14.429,Q1,323,209,812,7501,10146,608,13.53,35.89,United Kingdom,Immunology (Q1)
19,Chemical Society Reviews,journal,"ISSN 03060012, 14604744",13.72,Q1,356,399,1188,55509,40466,1138,34.51,139.12,United Kingdom,Chemistry (miscellaneous) (Q1)
20,Review of Economic Studies,journal,"ISSN 1467937X, 00346527",13.441,Q1,112,40,193,1803,717,192,3.54,45.08,United Kingdom,Economics and Econometrics (Q1)
21,The Lancet,journal,"ISSN 01406736, 1474547X",13.396,Q1,646,2083,5361,25072,44750,1449,32.63,12.04,United Kingdom,Medicine (miscellaneous) (Q1)
22,Review of Financial Studies,journal,"ISSN 08939454, 14657368",13.348,Q1,135,94,292,4581,1452,288,3.74,48.73,United Kingdom,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)
23,The Lancet Oncology,journal,"ISSN 14702045, 14745488",13.325,Q1,231,579,1162,9356,13004,428,29.11,16.16,United Kingdom,Oncology (Q1)
24,Nature Reviews Microbiology,journal,ISSN 17401526,12.689,Q1,221,200,583,7768,5808,264,21.39,38.84,United Kingdom,Immunology and Microbiology (miscellaneous)  (Q1)
25,Nature Neuroscience,journal,ISSN 10976256,12.524,Q1,347,341,910,12837,12748,832,15.11,37.65,United Kingdom,Neuroscience (miscellaneous) (Q1)
26,The Lancet Infectious Diseases,journal,ISSN 14733099,12.195,Q1,180,397,845,8023,5949,233,26.58,20.21,United Kingdom,Infectious Diseases (Q1)
27,Progress in Materials Science,journal,ISSN 00796425,11.897,Q1,123,23,73,7742,2218,68,29.93,336.61,United Kingdom,Materials Science (miscellaneous) (Q1)
28,Advances in Physics,journal,"ISSN 14606976, 00018732",11.262,Q1,93,4,21,1559,411,17,23.91,389.75,United Kingdom,Condensed Matter Physics (Q1)
29,The Lancet Neurology,journal,ISSN 14744422,11.126,Q1,227,288,717,8875,7462,278,25.72,30.82,United Kingdom,Neurology (clinical) (Q1)
30,Nature Chemistry,journal,"ISSN 17554330, 17554349",10.495,Q1,151,249,703,6356,10114,562,17.49,25.53,United Kingdom,Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)
31,Nature Structural and Molecular Biology,journal,"ISSN 15459985, 15459993",9.964,Q1,234,201,795,8422,7553,730,10.33,41.9,United Kingdom,Molecular Biology (Q1); Structural Biology (Q1)
32,Nature Medicine,journal,ISSN 10788956,9.947,Q1,468,376,1487,8151,17240,1099,16.95,21.68,United Kingdom,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
33,American Political Science Review,journal,"ISSN 15375943, 00030554",9.804,Q1,140,58,150,3349,904,140,5.21,57.74,United Kingdom,Sociology and Political Science (Q1)
34,Political Analysis,journal,"ISSN 10471987, 14764989",9.086,Q1,50,30,93,1285,489,86,6.05,42.83,United Kingdom,Sociology and Political Science (Q1)
35,Systematic Biology,journal,"ISSN 1076836X, 10635157",8.998,Q1,154,76,214,5050,2740,194,15.58,66.45,United Kingdom,"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
36,Molecular Biology and Evolution,journal,"ISSN 07374038, 15371719",8.995,Q1,183,322,859,17050,13202,831,9.79,52.95,United Kingdom,"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)"
37,Nature Reviews Drug Discovery,journal,ISSN 14741776,8.989,Q1,261,279,726,8808,6700,318,21.14,31.57,United Kingdom,Drug Discovery (Q1); Pharmacology (Q1)
38,Biology of Mood and Anxiety Disorders,journal,ISSN 20455380,8.901,Q1,9,15,2,952,43,2,7,63.47,United Kingdom,Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)
39,Reports on Progress in Physics,journal,"ISSN 00344885, 13616633",8.61,Q1,157,59,193,11627,2748,192,15.87,197.07,United Kingdom,Medicine (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)
40,Ecology Letters,journal,"ISSN 1461023X, 14610248",8.467,Q1,207,178,514,9220,6210,493,11.32,51.8,United Kingdom,"Ecology, Evolution, Behavior and Systematics (Q1)"
41,Genome Biology,journal,ISSN 14747596,8.188,Q1,188,285,710,8158,6278,498,12.14,28.62,United Kingdom,"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
42,Immunological Reviews,journal,"ISSN 01052896, 1600065X",7.82,Q1,190,101,329,13866,4021,315,11.29,137.29,United Kingdom,Immunology (Q1); Immunology and Allergy (Q1)
43,Energy and Environmental Sciences,journal,ISSN 17545692,7.792,Q1,209,375,1437,27832,29246,1408,20.97,74.22,United Kingdom,"Environmental Chemistry (Q1); Nuclear Energy and Engineering (Q1); Pollution (Q1); Renewable Energy, Sustainability and the Environment (Q1)"
44,American Journal of Political Science,journal,"ISSN 00925853, 15405907",7.601,Q1,127,75,200,4719,896,193,4.18,62.92,United Kingdom,Sociology and Political Science (Q1)
45,Progress in Energy and Combustion Science,journal,ISSN 03601285,7.389,Q1,141,21,82,4628,1886,75,25.12,220.38,United Kingdom,Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)
46,Light: Science and Applications,journal,ISSN 20477538,7.156,Q1,44,55,59,2419,944,56,16.86,43.98,United Kingdom,"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)"
47,Nature Chemical Biology,journal,"ISSN 15524469, 15524450",7.136,Q1,162,213,600,6520,5414,466,11.57,30.61,United Kingdom,Cell Biology (Q1); Molecular Biology (Q1)
48,FEMS Microbiology Reviews,journal,ISSN 01686445,7.105,Q1,167,50,147,11218,2120,136,14.96,224.36,United Kingdom,Infectious Diseases (Q1); Microbiology (Q1)
49,Nature Protocols,journal,ISSN 17542189,7.059,Q1,177,218,514,8832,5547,514,10.72,40.51,United Kingdom,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1)"
50,Molecular Psychiatry,journal,"ISSN 14765578, 13594184",6.897,Q1,180,235,535,9945,5154,374,13.72,42.32,United Kingdom,Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)
51,Nature Climate Change,journal,"ISSN 17586798, 1758678X",6.871,Q1,94,322,740,7324,6034,432,14.09,22.75,United Kingdom,Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)
52,eLife,journal,ISSN 2050084X,6.835,Q1,61,896,433,23503,2540,390,6.51,26.23,United Kingdom,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)"
53,European Heart Journal,journal,"ISSN 15229645, 0195668X",6.801,Q1,244,722,1748,17264,16249,1230,13.21,23.91,United Kingdom,Cardiology and Cardiovascular Medicine (Q1)
54,Journal of the National Cancer Institute,journal,ISSN 00278874,6.694,Q1,316,487,1047,10173,6444,501,12.51,20.89,United Kingdom,Cancer Research (Q1); Oncology (Q1)
55,Nature Geoscience,journal,"ISSN 17520894, 17520908",6.673,Q1,132,254,817,5886,6116,582,10.23,23.17,United Kingdom,Earth and Planetary Sciences (miscellaneous) (Q1)
56,Quarterly Reviews of Biophysics,journal,"ISSN 14698994, 00335835",6.641,Q1,85,17,30,2864,331,30,9.06,168.47,United Kingdom,Biophysics (Q1)
57,Gastroenterology,journal,"ISSN 15280012, 00165085",6.639,Q1,345,592,1842,14601,14716,1132,13.3,24.66,United Kingdom,Gastroenterology (Q1)
58,Nucleic Acids Research,journal,"ISSN 13624962, 03051048",6.576,Q1,414,1566,4028,76883,39731,3994,9.9,49.1,United Kingdom,Genetics (Q1)
59,Journal of the Royal Statistical Society. Series B: Statistical Methodology,journal,"ISSN 14679868, 13697412",6.532,Q1,105,39,99,1507,649,94,3.75,38.64,United Kingdom,"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
60,Acta Numerica,journal,ISSN 09624929,6.466,Q1,41,7,17,1266,161,17,9,180.86,United Kingdom,Mathematics (miscellaneous) (Q1); Numerical Analysis (Q1)
61,Nature Communications,journal,ISSN 20411723,6.331,Q1,169,2778,2879,126052,33537,2789,11.77,45.38,United Kingdom,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)"
62,International Organization,journal,"ISSN 00208183, 15315088",6.183,Q1,115,47,78,3382,348,75,3.58,71.96,United Kingdom,Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)
63,Gut,journal,"ISSN 00175749, 14683288",6.073,Q1,239,432,926,10086,8581,608,14.95,23.35,United Kingdom,Gastroenterology (Q1)
64,Brain,journal,"ISSN 14602156, 00068950",5.806,Q1,284,373,1075,16152,9761,851,10.52,43.3,United Kingdom,Arts and Humanities (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1)
65,Angewandte Chemie - International Edition,journal,"ISSN 14337851, 15213773",5.805,Q1,433,2684,6900,135185,79277,6770,11.09,50.37,United Kingdom,Catalysis (Q1); Chemistry (miscellaneous) (Q1)
66,Progress in Neurobiology,journal,ISSN 03010082,5.611,Q1,199,72,232,14941,2593,214,10.96,207.51,United Kingdom,Neuroscience (miscellaneous) (Q1)
67,Molecular Aspects of Medicine,journal,ISSN 00982997,5.435,Q1,105,16,144,4027,1672,139,11.38,251.69,United Kingdom,Biochemistry (Q1); Clinical Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)
68,Journal of Accounting Research,journal,"ISSN 1475679X, 00218456",5.418,Q1,108,36,118,1827,427,111,3.46,50.75,United Kingdom,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)
69,Annals of the Rheumatic Diseases,journal,"ISSN 14682060, 00034967",5.405,Q1,189,609,1459,10817,10608,1009,10.38,17.76,United Kingdom,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)"
70,International Journal of Plasticity,journal,ISSN 07496419,5.35,Q1,108,149,340,9312,2281,335,6.28,62.5,United Kingdom,Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)
71,Development (Cambridge),journal,"ISSN 09501991, 14779129",5.204,Q1,286,497,1584,29399,9939,1488,6.64,59.15,United Kingdom,Developmental Biology (Q1); Molecular Biology (Q1)
72,Critical Reviews in Biochemistry and Molecular Biology,journal,"ISSN 10409238, 15497798",5.071,Q1,90,28,97,5544,715,96,8.33,198,United Kingdom,Biochemistry (Q1); Molecular Biology (Q1)
73,Progress in Lipid Research,journal,ISSN 01637827,5.061,Q1,117,22,99,4729,1260,95,11.17,214.95,United Kingdom,Biochemistry (Q1); Cell Biology (Q1)
74,Nature Reviews Clinical Oncology,journal,"ISSN 17594774, 17594782",5.056,Q1,108,270,789,6499,3257,309,9.35,24.07,United Kingdom,Oncology (Q1)
75,ISME Journal,journal,"ISSN 17517362, 17517370",5.056,Q1,108,259,635,12099,5880,598,9.58,46.71,United Kingdom,"Ecology, Evolution, Behavior and Systematics (Q1); Microbiology (Q1)"
76,Neuroscience and Biobehavioral Reviews,journal,ISSN 01497634,5.027,Q1,189,222,529,33642,5489,497,10,151.54,United Kingdom,Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1)
77,Chemical Science,journal,"ISSN 20416520, 20416539",4.991,Q1,105,608,1357,35680,12798,1343,9.41,58.68,United Kingdom,Chemistry (miscellaneous) (Q1)
78,Journal of Politics,journal,"ISSN 14682508, 00223816",4.939,Q1,90,87,248,4573,760,244,2.85,52.56,United Kingdom,Sociology and Political Science (Q1)
79,Cell Death and Differentiation,journal,ISSN 13509047,4.913,Q1,183,228,612,8747,4757,550,8.13,38.36,United Kingdom,Cell Biology (Q1); Molecular Biology (Q1)
80,EMBO Molecular Medicine,journal,"ISSN 17574684, 17574676",4.898,Q1,69,145,344,7180,2685,297,9.14,49.52,United Kingdom,Molecular Medicine (Q1)
81,Cerebral Cortex,journal,"ISSN 14602199, 10473211",4.815,Q1,207,290,806,20037,6051,792,7.35,69.09,United Kingdom,Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1)
82,Human Reproduction Update,journal,"ISSN 13554786, 14602369",4.781,Q1,141,81,191,10235,1938,160,11.44,126.36,United Kingdom,Obstetrics and Gynecology (Q1); Reproductive Medicine (Q1)
83,Journal of Management Studies,journal,"ISSN 14676486, 00222380",4.744,Q1,136,52,204,4601,1371,188,5.72,88.48,United Kingdom,Business and International Management (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)
84,Microbiome,journal,ISSN 20492618,4.708,Q1,29,45,28,2238,229,26,8.81,49.73,United Kingdom,Microbiology (Q1); Microbiology (medical) (Q1)
85,Leukemia,journal,ISSN 08876924,4.66,Q1,165,434,1072,12516,6836,687,10.95,28.84,United Kingdom,Anesthesiology and Pain Medicine (Q1); Cancer Research (Q1); Hematology (Q1)
86,Global Change Biology,journal,"ISSN 13541013, 13652486",4.636,Q1,190,329,931,22715,8307,907,8.53,69.04,United Kingdom,Ecology (Q1); Environmental Chemistry (Q1); Environmental Science (miscellaneous) (Q1); Global and Planetary Change (Q1)
87,Advanced Functional Materials,journal,ISSN 1616301X,4.603,Q1,232,926,1763,42748,21048,1740,11.84,46.16,United Kingdom,"Biomaterials (Q1); Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Nanoscience and Nanotechnology (Q1)"
88,Clinical Psychology Review,journal,ISSN 02727358,4.571,Q1,161,52,263,4493,2623,259,8.44,86.4,United Kingdom,Clinical Psychology (Q1); Psychiatry and Mental Health (Q1)
89,Review of Finance,journal,ISSN 15723097,4.567,Q1,40,61,109,2761,273,107,2.48,45.26,United Kingdom,Finance (Q1)
90,Progress in Retinal and Eye Research,journal,ISSN 13509462,4.566,Q1,119,31,101,6916,1081,100,10.2,223.1,United Kingdom,Ophthalmology (Q1); Sensory Systems (Q1)
91,International Journal of Epidemiology,journal,ISSN 03005771,4.562,Q1,161,274,761,8545,3972,460,8.34,31.19,United Kingdom,Epidemiology (Q1)
92,Mucosal Immunology,journal,"ISSN 19330219, 19353456",4.542,Q1,68,139,257,6960,1862,241,7.39,50.07,United Kingdom,Immunology (Q1); Immunology and Allergy (Q1)
93,Human Molecular Genetics,journal,"ISSN 14602083, 09646906",4.541,Q1,242,641,1427,27026,10415,1395,7.04,42.16,United Kingdom,Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)
94,Journal of the American Statistical Association,journal,"ISSN 01621459, 1537274X",4.509,Q1,147,136,408,4525,1105,373,2.26,33.27,United Kingdom,"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
95,Economic Policy,journal,"ISSN 14680327, 02664658",4.506,Q1,58,20,59,747,208,47,3.66,37.35,United Kingdom,"Economics and Econometrics (Q1); Management, Monitoring, Policy and Law (Q1)"
96,Obesity Reviews,journal,ISSN 14677881,4.467,Q1,122,118,390,7125,3710,366,9.19,60.38,United Kingdom,"Endocrinology, Diabetes and Metabolism (Q1); Public Health, Environmental and Occupational Health (Q1)"
97,Epigenetics and Chromatin,journal,ISSN 17568935,4.451,Q1,33,39,85,2251,460,81,6.05,57.72,United Kingdom,Genetics (Q1); Molecular Biology (Q1)
98,Open Biology,journal,ISSN 20462441,4.448,Q1,30,67,138,3858,834,135,6.17,57.58,United Kingdom,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Neuroscience (miscellaneous) (Q1)"
99,Global Ecology and Biogeography,journal,ISSN 1466822X,4.433,Q1,113,143,324,7858,2361,304,6.92,54.95,United Kingdom,"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Global and Planetary Change (Q1)"
100,Journal of Public Administration Research and Theory,journal,"ISSN 10531858, 14779803",4.421,Q1,84,38,132,2784,562,128,3.61,73.26,United Kingdom,Marketing (Q1); Public Administration (Q1); Sociology and Political Science (Q1)
101,Journal of Peasant Studies,journal,ISSN 03066150,4.419,Q1,52,56,141,4654,1023,130,7.2,83.11,United Kingdom,Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1)
102,Oncogene,journal,ISSN 09509232,4.371,Q1,295,876,1657,32129,11688,1482,7.92,36.68,United Kingdom,Cancer Research (Q1); Genetics (Q1); Molecular Biology (Q1)
103,Journal of Business and Economic Statistics,journal,"ISSN 07350015, 15372707",4.348,Q1,77,58,148,1464,439,141,2.39,25.24,United Kingdom,"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
104,Cement and Concrete Research,journal,ISSN 00088846,4.201,Q1,144,146,485,5829,2369,473,3.6,39.92,United Kingdom,Building and Construction (Q1); Materials Science (miscellaneous) (Q1)
105,Omega,journal,ISSN 03050483,4.198,Q1,102,100,266,4389,1480,257,5.83,43.89,United Kingdom,Information Systems and Management (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)
106,Studies in Science Education,journal,"ISSN 19408412, 03057267",4.169,Q1,17,7,18,643,92,18,3.08,91.86,United Kingdom,Education (Q1)
107,Bioinformatics,journal,"ISSN 13674811, 13674803",4.115,Q1,300,867,2208,20443,13447,2148,5.61,23.58,United Kingdom,Biochemistry (Q1); Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Molecular Biology (Q1); Statistics and Probability (Q1)
108,International Materials Reviews,journal,ISSN 09506608,4.043,Q1,81,19,45,3623,440,45,9.72,190.68,United Kingdom,Materials Chemistry (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1); Metals and Alloys (Q1)
109,Epidemiologic Reviews,journal,"ISSN 0193936X, 14786729",4.032,Q1,89,12,41,999,336,40,7.93,83.25,United Kingdom,Epidemiology (Q1)
110,Journal of Financial and Quantitative Analysis,journal,ISSN 00221090,4.026,Q1,90,58,167,2459,454,167,2.23,42.4,United Kingdom,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)
111,BMC Biology,journal,ISSN 17417007,4.026,Q1,79,94,339,4656,1545,213,6.99,49.53,United Kingdom,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Physiology (Q1); Plant Science (Q1); Structural Biology (Q1)"
112,Progress in Solid State Chemistry,journal,ISSN 00796786,4.021,Q1,40,17,16,1359,170,15,7.5,79.94,United Kingdom,Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)
113,Leadership Quarterly,journal,ISSN 10489843,4.001,Q1,110,90,231,6964,1011,213,3.84,77.38,United Kingdom,Applied Psychology (Q1); Business and International Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1)
114,Pharmacology and Therapeutics,journal,ISSN 01637258,3.989,Q1,169,116,318,21070,3243,313,10.95,181.64,United Kingdom,Pharmacology (Q1); Pharmacology (medical) (Q1)
115,Silence,journal,ISSN 1758907X,3.955,Q1,22,0,20,0,145,19,8.92,0,United Kingdom,Biotechnology (Q1); Molecular Biology (Q1)
116,Schizophrenia Bulletin,journal,ISSN 05867614,3.954,Q1,155,206,518,12409,3915,476,8.29,60.24,United Kingdom,Psychiatry and Mental Health (Q1)
117,Nature Reviews Neurology,journal,"ISSN 17594758, 17594766",3.885,Q1,104,275,790,7638,3127,363,8.59,27.77,United Kingdom,Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1)
118,Biometrika,journal,"ISSN 00063444, 14643510",3.88,Q1,96,99,233,2476,470,229,1.63,25.01,United Kingdom,"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
119,Developmental Science,journal,"ISSN 14677687, 1363755X",3.866,Q1,100,128,317,5949,1705,293,4.44,46.48,United Kingdom,Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1)
120,Plant Journal,journal,"ISSN 09607412, 1365313X",3.858,Q1,219,363,1057,21169,7602,1044,6.61,58.32,United Kingdom,Cell Biology (Q1); Genetics (Q1); Plant Science (Q1)
121,Journal of Cell Science,journal,"ISSN 14779137, 00219533",3.851,Q1,239,494,1634,27596,9232,1479,5.96,55.86,United Kingdom,Cell Biology (Q1)
122,IMF Economic Review,book serie,"ISSN 2041417X, 20414161",3.789,Q1,53,22,73,791,197,66,1.83,35.95,United Kingdom,"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)"
123,Neuropsychopharmacology,journal,ISSN 0893133X,3.779,Q1,188,370,877,17156,5994,761,7.53,46.37,United Kingdom,Pharmacology (Q1); Psychiatry and Mental Health (Q1)
124,Arthritis and Rheumatology,journal,"ISSN 23265205, 23265191",3.753,Q1,271,474,1555,14469,9847,1248,8.04,30.53,United Kingdom,Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)
125,Aging Cell,journal,ISSN 14749718,3.74,Q1,107,124,364,5058,2432,353,6.96,40.79,United Kingdom,Aging (Q1); Cell Biology (Q1)
126,Transactions of the Institute of British Geographers,journal,ISSN 00202754,3.731,Q1,84,48,151,3632,731,137,5.18,75.67,United Kingdom,"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)"
127,Journal of International Business Studies,journal,"ISSN 14786990, 00472506",3.724,Q1,148,56,156,4988,876,155,4.7,89.07,United Kingdom,"Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)"
128,Briefings in Bioinformatics,journal,"ISSN 14774054, 14675463",3.687,Q1,79,91,244,6007,1584,231,7.17,66.01,United Kingdom,Information Systems (Q1); Molecular Biology (Q1)
129,Annals of Oncology,journal,"ISSN 09237534, 15698041",3.676,Q1,190,431,1699,10814,11685,1471,7.84,25.09,United Kingdom,Hematology (Q1); Medicine (miscellaneous) (Q1); Oncology (Q1)
130,Thorax,journal,"ISSN 14683296, 00406376",3.623,Q1,189,366,1059,5305,4449,522,9.14,14.49,United Kingdom,Pulmonary and Respiratory Medicine (Q1)
131,Journal of Child Psychology and Psychiatry and Allied Disciplines,journal,"ISSN 14697610, 00219630",3.594,Q1,174,173,456,7614,2818,372,6.85,44.01,United Kingdom,"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
132,Automatica,journal,ISSN 00051098,3.59,Q1,206,404,1214,12387,7290,1198,5.41,30.66,United Kingdom,Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)
133,Journal of Ecology,journal,"ISSN 13652745, 00220477",3.574,Q1,147,167,467,11710,2802,448,5.88,70.12,United Kingdom,"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
134,Econometric Theory,journal,"ISSN 02664666, 14694360",3.55,Q1,56,100,143,3816,204,128,1.31,38.16,United Kingdom,Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)
135,Journal of Metamorphic Geology,journal,"ISSN 15251314, 02634929",3.481,Q1,93,55,153,4174,734,147,4.45,75.89,United Kingdom,Geochemistry and Petrology (Q1); Geology (Q1)
136,Fish and Fisheries,journal,"ISSN 14672979, 14672960",3.462,Q1,80,47,94,4817,715,89,7.37,102.49,United Kingdom,"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1); Oceanography (Q1)"
137,Journal of Petrology,journal,"ISSN 14602415, 00223530",3.453,Q1,134,128,268,12855,1363,256,4.74,100.43,United Kingdom,Geochemistry and Petrology (Q1); Geophysics (Q1)
