 10004063, 45, 3, 0.067
 10007814, 57, 11, 0.193
 10002718, 73, 3, 0.041
 10003645, 119, 12, 0.101
 10007796, 40, 17, 0.425
 10007165, 64, 5, 0.078
 10004113, 139, 0, 0.000
 10007166, 28, 0, 0.000
 10007795, 88, 0, 0.000
 10005553, 45, 7, 0.156
 10007794, 87, 19, 0.218
 10007799, 52, 5, 0.096
 10007806, 102, 22, 0.216
 10007154, 57, 4, 0.070
 10007157, 80, 1, 0.013
 10007796, 59, 3, 0.051
 10001883, 41, 3, 0.073
 10000824, 85, 0, 0.000
 10007789, 37, 1, 0.027
 10004113, 68, 0, 0.000
 10007144, 65, 10, 0.154
 10001478, 95, 10, 0.105
 10007155, 46, 0, 0.000
 10007784, 60, 9, 0.150
 10007776, 47, 10, 0.213
 10007164, 67, 18, 0.269
 10001282, 50, 1, 0.020
 10007804, 57, 8, 0.140
 10000886, 52, 7, 0.135
 10007159, 54, 5, 0.093
 10007156, 68, 4, 0.059
 10007772, 27, 3, 0.111
 10005790, 83, 2, 0.024
 10006566, 11, 3, 0.273
 10007807, 64, 19, 0.297
 10007141, 40, 1, 0.025
 10004797, 46, 0, 0.000
 10006842, 26, 3, 0.115
 10007762, 40, 0, 0.000
 10005337, 36, 1, 0.028
 10005500, 42, 1, 0.024
 10003614, 50, 7, 0.140
 10007851, 77, 14, 0.182
 10000571, 31, 7, 0.226
 10004048, 30, 13, 0.433
 10003863, 15, 2, 0.133
 10007151, 28, 1, 0.036
 10000291, 33, 11, 0.333
 10003957, 48, 1, 0.021
 10000961, 67, 7, 0.104
 10004930, 24, 1, 0.042
 10007843, 30, 4, 0.133
 10007823, 47, 9, 0.191
 10007140, 30, 30, 1.000
 10007152, 42, 10, 0.238
 10007833, 17, 17, 1.000
 10004351, 62, 26, 0.419
 10007800, 47, 15, 0.319
 10001282, 34, 1, 0.029
 10003861, 112, 0, 0.000
 10007856, 21, 0, 0.000
 10001143, 48, 14, 0.292
 10007713, 24, 1, 0.042
 10006022, 23, 4, 0.174
 10006299, 55, 1, 0.018
 10006841, 34, 22, 0.647
 10004078, 46, 11, 0.239
