 10004063, 65.0, 0.00000, 46.7, 0.00000
 10007814, 61.0, 4.36364, 40.4, 4.36364
 10002718, 55.0, 8.00000, 34.2, 8.00000
 10003645, 54.0, 3.50000, 32.8, 3.50000
 10007796, 52.0, 3.41176, 35.0, 3.41176
 10007165, 52.0, 2.40000, 42.2, 2.40000
 10004113, 50.0, 0.00000, 41.0, 0.00000
 10007166, 48.0, 0.00000, 39.3, 0.00000
 10007795, 48.0, 0.00000, 35.2, 0.00000
 10005553, 45.0, 10.00000, 40.0, 10.00000
 10007794, 45.0, 16.31579, 33.3, 16.31579
 10007799, 42.0, 9.00000, 32.7, 9.00000
 10007806, 41.0, 22.45455, 25.5, 22.45455
 10007154, 40.0, 0.00000, 33.3, 0.00000
 10007157, 38.0, 0.00000, 16.3, 0.00000
 10007796, 37.0, 5.66667, 33.9, 5.66667
 10001883, 36.0, 0.00000, 48.8, 0.00000
 10000824, 36.0, 0.00000, 22.4, 0.00000
 10007789, 35.0, 0.00000, 37.8, 0.00000
 10004113, 35.0, 0.00000, 23.5, 0.00000
 10007144, 33.0, 13.50000, 29.2, 13.50000
 10001478, 33.0, 11.50000, 22.1, 11.50000
 10007155, 31.0, 0.00000, 19.6, 0.00000
 10007784, 29.0, 2.22222, 25.0, 2.22222
 10007776, 29.0, 7.10000, 22.9, 7.10000
 10007164, 27.0, 26.33333, 20.9, 26.33333
 10001282, 27.0, 0.00000, 29.4, 0.00000
 10007804, 27.0, 3.25000, 19.3, 3.25000
 10000886, 27.0, 10.57143, 23.1, 10.57143
 10007159, 25.0, 12.80000, 24.1, 12.80000
 10007156, 25.0, 8.75000, 25.0, 8.75000
 10007772, 24.0, 1.66667, 29.6, 1.66667
 10005790, 24.0, 0.00000, 14.5, 0.00000
 10006566, 24.0, 3.66667, 27.0, 3.66667
 10007807, 21.0, 27.84211, 10.9, 27.84211
 10007141, 20.0, 0.00000, 30.0, 0.00000
 10004797, 20.0, 0.00000, 23.9, 0.00000
 10006842, 18.0, 7.33333, 15.4, 7.33333
 10007762, 17.0, 0.00000, 19.5, 0.00000
 10005337, 16.0, 0.00000, 25.0, 0.00000
 10005500, 15.0, 0.00000, 16.7, 0.00000
 10003614, 14.0, 0.42857, 22.0, 0.42857
 10007851, 14.0, 2.28571, 20.8, 2.28571
 10000571, 13.0, 17.71429, 19.4, 17.71429
 10004048, 13.0, 3.76923, 13.3, 3.76923
 10003863, 13.0, 0.00000, 20.0, 0.00000
 10007151, 12.0, 0.00000, 17.9, 0.00000
 10000291, 12.0, 3.27273, 18.2, 3.27273
 10003957, 12.0, 0.00000, 12.5, 0.00000
 10000961, 12.0, 7.14286, 19.1, 7.14286
 10004930, 11.0, 0.00000, 16.7, 0.00000
 10007843, 11.0, 5.50000, 16.7, 5.50000
 10007823, 11.0, 15.66667, 10.6, 15.66667
 10007140, 9.0, 22.56667, 13.3, 22.56667
 10007152, 9.0, 0.90000, 14.3, 0.90000
 10007833, 8.0, 21.88235, 11.8, 21.88235
 10004351, 7.0, 30.76923, 11.3, 30.76923
 10007800, 7.0, 24.73333, 2.1, 24.73333
 10001282, 6.0, 0.00000, 8.8, 0.00000
 10003861, 6.0, 0.00000, 3.6, 0.00000
 10007856, 6.0, 0.00000, 9.5, 0.00000
 10001143, 5.0, 34.64286, 8.3, 34.64286
 10007713, 5.0, 0.00000, 8.3, 0.00000
 10006022, 5.0, 14.50000, 8.3, 14.50000
 10006299, 5.0, 0.00000, 7.3, 0.00000
 10006841, 2.0, 1.72727, 2.9, 1.72727
 10004078, 1.0, 0.00000, 2.2, 0.00000
