 10007774, 162, 130, 0.802
 10007154, 93, 0, 0.000
 10003645, 132, 10, 0.076
 10007788, 147, 1, 0.007
 10007143, 96, 4, 0.042
 10007814, 78, 6, 0.077
 10007784, 793, 13, 0.016
 10006840, 102, 0, 0.000
 10007792, 101, 7, 0.069
 10007167, 86, 1, 0.012
 10007786, 154, 19, 0.123
 10007790, 134, 0, 0.000
 10007157, 53, 0, 0.000
 10007773, 202, 0, 0.000
 10007798, 131, 25, 0.191
 10005343, 83, 5, 0.060
 10007163, 143, 3, 0.021
 10007794, 152, 2, 0.013
 10007158, 78, 0, 0.000
 10007802, 61, 6, 0.098
 10004113, 35, 0, 0.000
 10007768, 41, 3, 0.073
 10007806, 57, 0, 0.000
 10007807, 41, 0, 0.000
 10007795, 121, 0, 0.000
 10004180, 88, 87, 0.989
 10007804, 48, 0, 0.000
 10007799, 69, 16, 0.232
 10007776, 58, 7, 0.121
 10007164, 43, 1, 0.023
 10008010, 20, 0, 0.000
 10007784, 29, 1, 0.034
 10007805, 92, 2, 0.022
 10006299, 28, 1, 0.036
 10002718, 39, 0, 0.000
 10004048, 19, 1, 0.053
 10003956, 35, 34, 0.971
 10007789, 49, 0, 0.000
 10000961, 61, 1, 0.016
 10007148, 48, 1, 0.021
 10005790, 52, 5, 0.096
 10007796, 93, 4, 0.043
 10003614, 36, 0, 0.000
 10007151, 24, 0, 0.000
 10007152, 32, 0, 0.000
 10007140, 30, 0, 0.000
 10007832, 30, 0, 0.000
 10004930, 43, 0, 0.000
 10007848, 18, 0, 0.000
 10003957, 50, 1, 0.020
 10007144, 33, 0, 0.000
 10007149, 52, 0, 0.000
 10007852, 37, 0, 0.000
 10007801, 82, 0, 0.000
 10000886, 29, 3, 0.103
 10007823, 48, 1, 0.021
 10007851, 21, 1, 0.048
 10007783, 33, 1, 0.030
 10007762, 23, 0, 0.000
 10007139, 52, 1, 0.019
 10007843, 25, 1, 0.040
 10007811, 21, 0, 0.000
 10004797, 70, 1, 0.014
 10001143, 98, 10, 0.102
 10007166, 42, 0, 0.000
 10000571, 48, 2, 0.042
 10006566, 13, 0, 0.000
 10007159, 79, 29, 0.367
 10007800, 47, 2, 0.043
 10003861, 50, 2, 0.040
 10007146, 41, 41, 1.000
 10007713, 40, 1, 0.025
 10006841, 34, 4, 0.118
 10007138, 53, 2, 0.038
 10000291, 21, 1, 0.048
 10007842, 17, 0, 0.000
