UKPRN,UnitOfAssessment,MultipleSubmission,Source,Income2008,Income2009,Income2010,Income2011,Income2012
10007144,11,,4,7872,0,0,0,0
10007144,11,,5,1652,16284,35265,0,0
10007144,11,,6,0,2284,164863,80770,60395
10007823,11,,1,0,0,1400,10000,0
10007823,11,,4,1373,4878,5700,0,-696
10007823,11,,5,0,0,0,0,5008
10007791,11,,1,1600903,1333881,977924,1004795,705500
10007791,11,,2,20593,99,0,0,7968
10007791,11,,4,112964,130154,218767,347433,192759
10007791,11,,5,294537,120347,217889,225051,163200
10007791,11,,6,646755,905754,1355300,1530499,664637
10007791,11,,8,0,42596,0,0,0
10007791,11,,9,4911,5592,81473,9048,1374
10007791,11,,12,58985,34381,78127,191222,188643
10007791,11,,15,12377,15073,8601,5490,0
10007792,11,,1,0,8955,138967,275215,455720
10007792,11,,2,0,0,5931,0,0
10007792,11,,4,0,11995,22186,30334,163214
10007792,11,,5,25215,12958,23795,54052,24934
10007792,11,,6,0,0,0,119,368
10007792,11,,8,0,0,0,0,374
10007792,11,,12,2420,34203,0,0,0
10002718,11,,1,729587,449610,436566,342738,294303
10002718,11,,2,13460,28518,35428,27923,305
10002718,11,,4,60375,18684,30688,25946,0
10002718,11,,5,406819,25578,0,0,0
10002718,11,,6,140153,239897,490038,516544,648837
10002718,11,,10,7180,0,0,36213,7791
10002718,11,,11,9472,0,0,0,0
10002718,11,,12,0,42135,41675,-7608,0
10002718,11,,13,0,2184,0,0,0
10007146,11,,1,11584,0,0,0,10728
10007146,11,,2,0,0,0,0,10000
10007146,11,,3,3861,33750,20250,0,0
10007146,11,,4,22916,0,0,0,0
10007146,11,,5,-168,0,0,0,3576
10007146,11,,6,43462,5515,119036,29942,135455
10007147,11,,1,209756,232729,66294,4994,105284
10007147,11,,2,3741,5016,1,0,0
10007147,11,,3,0,0,0,0,57435
10007147,11,,4,362125,135360,0,3598,43552
10007147,11,,5,59248,5545,316737,140501,314814
10007147,11,,6,1139607,1424811,1056679,1419173,1303515
10007147,11,,9,96894,0,0,0,222
10007147,11,,12,12122,0,0,0,0
10007147,11,,13,48991,8250,7200,-39,6614
10007148,11,,1,0,0,0,27366,87972
10007148,11,,2,0,4647,645,0,0
10007148,11,,4,0,53329,35962,20891,23783
10007148,11,,5,27971,18604,0,0,0
10007148,11,,6,31231,52376,32557,1467,169773
10007149,11,,1,137590,134093,51346,14879,-9413
10007149,11,,2,0,2003,12462,3293,11436
10007149,11,,4,77763,67549,89821,81006,43771
10007149,11,,5,62718,51022,132974,108162,106933
10007149,11,,6,270178,177081,145401,112248,52994
10007149,11,,8,0,0,0,34318,17251
10007149,11,,9,2796,3457,0,0,0
10007149,11,,11,50216,22666,8123,0,0
10007149,11,,13,10353,11619,0,3453,3453
10003270,11,,1,6280868,5283298,5874696,5212925,4713278
10003270,11,,2,258587,296730,420810,711806,1090638
10003270,11,,3,6159,5120,-512470,53050,52085
10003270,11,,4,481068,248906,470957,154023,337026
10003270,11,,5,779326,648630,889495,943637,896411
10003270,11,,6,2015035,2003541,2339125,2569004,3374522
10003270,11,,7,0,0,0,0,384
10003270,11,,8,43806,37754,22905,9346,23514
10003270,11,,9,15905,-9171,21010,37411,48004
10003270,11,,11,305436,474016,410144,261966,340582
10003270,11,,12,13327,0,-34,-17613,82493
10003270,11,,13,10911,-11,0,0,-177
10003270,11,,15,0,0,1,31914,70984
10007767,11,,1,94544,47350,37972,35559,11703
10007767,11,,2,1908,0,1440,0,0
10007767,11,,4,470,0,9740,28112,6510
10007767,11,,5,29348,40413,4389,0,0
10007767,11,,6,0,0,14480,93227,83054
