Institution,FourStarMean,ThreeStarMean,TwoStarMean,OneStarMean,UnclassifiedMean,Region,Distance from London,,,,,,,,,
Royal Agricultural University,3,4,39,38,16,South West England,131.004,,,,,,,,,
Royal Central School of Speech and Drama,39,31,25,4,1,London,5.225,,,,,,,,,
Royal College of Art,37,40,17,6,0,London,3.637,,,,,,,,,
Royal College of Music,34,39,22,4,1,London,3.53,,,,,,,,,
Royal Conservatoire of Scotland,26,41,26,6,1,Scotland,556.148,,,,,,,,,
"Royal Holloway, University of London",30.35294118,50.58823529,17.17647059,1.470588235,0.411764706,London,31.527,,,,,,,,,
Royal Northern College of Music,36,39,22,3,0,North West England,260.927,,,,,,,,,
Royal Veterinary College,35,44,18,3,0,London,3.264,,,,,,,,,
School of Oriental and African Studies,25.45454545,42.72727273,27,3.909090909,0.909090909,London,1.673,,,,,,,,,
Sheffield Hallam University,17.27272727,46.18181818,29.90909091,6.181818182,0.454545455,Yorkshire and the Humber,227.276,,,,,,,,,
Southampton Solent University,2,17.25,35,29.25,16.5,South East England,111.024,,,,,,,,,
SRUC,42,32,23,3,0,Scotland,530.758,,,,,,,,,
St Mary's University College,0,0,20,67,13,Northen Ireland,519.648,,,,,,,,,
"St Mary's University, Twickenham",10.85714286,20.85714286,35.14285714,29.14285714,4,London,16.373,,,,,,,,,
"St.George's, University of London",30.5,45,23.5,1,0,London,9.494,,,,,,,,,
Staffordshire University,6,30,41.375,21.75,0.875,West Midlands,217.759,,,,,,,,,
Stranmillis University College,20,24,28,28,0,Northen Ireland,516.918,,,,,,,,,
Swansea University,27.94444444,47.55555556,22,2.222222222,0.277777778,Wales,266.575,,,,,,,,,
Teesside University,8.75,48.25,33.5,8,1.5,North East England,348.96,,,,,,,,,
The University of West London,8.2,17.8,36.4,35,2.6,London,12.167,,,,,,,,,
Trinity Laban Conservatoire of Music and Dance,18,50,24,8,0,London,8.8,,,,,,,,,
University College London,39,42.02777778,16,2.416666667,0.555555556,London,1.964,,,,,,,,,
University for the Creative Arts,17,47,29,5,2,South East England,57.234,,,,,,,,,
University of Aberdeen,22.4,50.76,23.08,3.52,0.24,Scotland,642.605,,,,,,,,,
University of Abertay Dundee,6.142857143,25.28571429,50,15,3.571428571,Scotland,582.175,,,,,,,,,
University of Bath,30.76923077,55.92307692,11.61538462,1.384615385,0.307692308,South West England,153.283,,,,,,,,,
University of Bedfordshire,13.81818182,31.36363636,40.81818182,12.18181818,1.818181818,East England,45.632,,,,,,,,,
University of Birmingham,29.45454545,52.54545455,15.81818182,1.787878788,0.393939394,West Midlands,162.194,,,,,,,,,
University of Bolton,5.285714286,21.14285714,39.42857143,25.71428571,8.428571429,North West England,278.057,,,,,,,,,
University of Bradford,22.14285714,46.28571429,26.85714286,3.285714286,1.428571429,Yorkshire and the Humber,277.278,,,,,,,,,
University of Brighton,18.7,45.7,30.1,5,0.5,South East England,74.064,,,,,,,,,
University of Bristol,33,46.22580645,18.70967742,1.935483871,0.129032258,South West England,171.671,,,,,,,,,
University of Cambridge,44.34375,40.90625,13.15625,1.3125,0.28125,East England,79.354,,,,,,,,,
University of Central Lancashire,8.25,40.3125,42.75,8.1875,0.5,North West England,305.778,,,,,,,,,
University of Chester,5.8125,21.9375,43.1875,24.25,4.8125,North West England,266.463,,,,,,,,,
University of Chichester,12.4,32.6,43.6,10.2,1.2,South East England,86.503,,,,,,,,,
University of Cumbria,6.833333333,26,47.5,18.66666667,1,North West England,420.147,,,,,,,,,
University of Derby,4.8,24.1,45.2,23.1,2.8,East Midlands,184.633,,,,,,,,,
University of Dundee,24.2,45,26.5,3.6,0.7,Scotland,581.813,,,,,,,,,
University of Durham,33.13043478,49,16.13043478,1.347826087,0.391304348,North East England,375.33,,,,,,,,,
University of East Anglia,29.75,51.875,16.91666667,1.25,0.208333333,East England,155.382,,,,,,,,,
University of East London,14.15384615,41.69230769,34,9.692307692,0.461538462,London,13.439,,,,,,,,,
University of Edinburgh,34.5483871,44.90322581,18.29032258,2,0.258064516,Scotland,533.382,,,,,,,,,
University of Essex,29.28571429,48.21428571,20.78571429,1.571428571,0.142857143,East England,84.865,,,,,,,,,
University of Exeter,28.8,52.44,16.6,1.92,0.24,South West England,253.016,,,,,,,,,
