UKPRN,Institution,SortOrder,UnitOfAssessment,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10007157,University of Sheffield,1660,History,Overall,45,41,13,1,0
10007157,University of Sheffield,1660,Philosophy,Overall,33,52,15,0,0
10007157,University of Sheffield,1660,Theology and Religious Studies,Overall,21,51,28,0,0
10007157,University of Sheffield,1660,"Music, Drama, Dance and Performing Arts",Overall,48,36,14,2,0
10007157,University of Sheffield,1660,"Communication, Cultural and Media Studies, Library and Information Management",Overall,38,34,20,8,0
10005790,Sheffield Hallam University,1670,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,11,60,28,1,0
10005790,Sheffield Hallam University,1670,Biological Sciences,Overall,5,41,48,6,0
10005790,Sheffield Hallam University,1670,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,2,54,42,1,1
10005790,Sheffield Hallam University,1670,"Architecture, Built Environment and Planning",Overall,35,46,17,1,1
10005790,Sheffield Hallam University,1670,Business and Management Studies,Overall,6,37,40,17,0
10005790,Sheffield Hallam University,1670,Education,Overall,12,57,21,9,1
10005790,Sheffield Hallam University,1670,"Sport and Exercise Sciences, Leisure and Tourism",Overall,17,50,25,7,1
10005790,Sheffield Hallam University,1670,English Language and Literature,Overall,12,40,42,6,0
10005790,Sheffield Hallam University,1670,History,Overall,24,43,30,2,1
10005790,Sheffield Hallam University,1670,"Art and Design: History, Practice and Theory",Overall,42,39,18,1,0
10005790,Sheffield Hallam University,1670,"Communication, Cultural and Media Studies, Library and Information Management",Overall,24,41,18,17,0
10007158,University of Southampton,1680,Clinical Medicine,Overall,25,50,21,2,2
10007158,University of Southampton,1680,"Public Health, Health Services and Primary Care",Overall,37,50,12,1,0
10007158,University of Southampton,1680,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,53,41,6,0,0
10007158,University of Southampton,1680,"Psychology, Psychiatry and Neuroscience",Overall,42,38,19,1,0
10007158,University of Southampton,1680,Biological Sciences,Overall,18,64,17,1,0
10007158,University of Southampton,1680,Earth Systems and Environmental Sciences,Overall,41,52,4,1,2
10007158,University of Southampton,1680,Chemistry,Overall,29,65,6,0,0
10007158,University of Southampton,1680,Physics,Overall,31,63,6,0,0
10007158,University of Southampton,1680,Mathematical Sciences,Overall,23,64,13,0,0
10007158,University of Southampton,1680,Computer Science and Informatics,Overall,44,35,16,5,0
10007158,University of Southampton,1680,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,35,60,5,0,0
10007158,University of Southampton,1680,General Engineering,Overall,33,58,8,1,0
10007158,University of Southampton,1680,"Geography, Environmental Studies and Archaeology",Overall,29,44,26,1,0
10007158,University of Southampton,1680,"Geography, Environmental Studies and Archaeology",Overall,32,50,17,1,0
10007158,University of Southampton,1680,Economics and Econometrics,Overall,16,42,39,2,1
10007158,University of Southampton,1680,Business and Management Studies,Overall,21,54,20,4,1
10007158,University of Southampton,1680,Law,Overall,16,44,38,2,0
10007158,University of Southampton,1680,Politics and International Studies,Overall,28,47,22,2,1
10007158,University of Southampton,1680,Social Work and Social Policy,Overall,41,43,14,2,0
10007158,University of Southampton,1680,Education,Overall,31,47,21,1,0
10007158,University of Southampton,1680,Modern Languages and Linguistics,Overall,39,45,16,0,0
10007158,University of Southampton,1680,English Language and Literature,Overall,41,35,20,4,0
10007158,University of Southampton,1680,History,Overall,43,44,13,0,0
10007158,University of Southampton,1680,Philosophy,Overall,17,52,31,0,0
10007158,University of Southampton,1680,"Art and Design: History, Practice and Theory",Overall,25,50,22,3,0
10007158,University of Southampton,1680,"Music, Drama, Dance and Performing Arts",Overall,68,22,7,3,0
10006022,Southampton Solent University,1690,General Engineering,Overall,0,16,30,33,21
10006022,Southampton Solent University,1690,"Sport and Exercise Sciences, Leisure and Tourism",Overall,0,10,34,40,16
10006022,Southampton Solent University,1690,"Art and Design: History, Practice and Theory",Overall,3,19,42,26,10
10006022,Southampton Solent University,1690,"Communication, Cultural and Media Studies, Library and Information Management",Overall,5,24,34,18,19
10006299,Staffordshire University,1700,"Psychology, Psychiatry and Neuroscience",Overall,10,26,50,11,3
10006299,Staffordshire University,1700,Computer Science and Informatics,Overall,0,8,58,34,0
10006299,Staffordshire University,1700,General Engineering,Overall,2,39,42,17,0
10006299,Staffordshire University,1700,Business and Management Studies,Overall,2,43,41,14,0
10006299,Staffordshire University,1700,Education,Overall,16,30,30,24,0
10006299,Staffordshire University,1700,"Sport and Exercise Sciences, Leisure and Tourism",Overall,13,51,33,3,0
10006299,Staffordshire University,1700,"Art and Design: History, Practice and Theory",Overall,0,22,46,30,2
10006299,Staffordshire University,1700,"Communication, Cultural and Media Studies, Library and Information Management",Overall,5,21,31,41,2
10007159,University of Sunderland,1720,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,7,44,45,4,0
10007159,University of Sunderland,1720,Computer Science and Informatics,Overall,0,14,42,44,0
10007159,University of Sunderland,1720,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Overall,2,22,55,19,2
10007159,University of Sunderland,1720,Business and Management Studies,Overall,2,2,34,50,12
10007159,University of Sunderland,1720,Law,Overall,0,5,53,42,0
10007159,University of Sunderland,1720,Social Work and Social Policy,Overall,3,27,52,15,3
10007159,University of Sunderland,1720,Education,Overall,5,11,34,38,12
10007159,University of Sunderland,1720,"Sport and Exercise Sciences, Leisure and Tourism",Overall,3,16,58,20,3
10007159,University of Sunderland,1720,English Language and Literature,Overall,7,25,52,15,1
10007159,University of Sunderland,1720,History,Overall,6,28,42,24,0
10007159,University of Sunderland,1720,"Art and Design: History, Practice and Theory",Overall,5,36,45,13,1
10007159,University of Sunderland,1720,"Music, Drama, Dance and Performing Arts",Overall,0,32,27,38,3
10007159,University of Sunderland,1720,"Communication, Cultural and Media Studies, Library and Information Management",Overall,25,38,33,4,0
10007160,University of Surrey,1740,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,44,49,7,0,0
10007160,University of Surrey,1740,"Psychology, Psychiatry and Neuroscience",Overall,19,52,26,2,1
10007160,University of Surrey,1740,Physics,Overall,25,59,16,0,0
10007160,University of Surrey,1740,Mathematical Sciences,Overall,14,61,25,0,0
10007160,University of Surrey,1740,Computer Science and Informatics,Overall,11,49,38,0,2
10007160,University of Surrey,1740,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,15,78,7,0,0
10007160,University of Surrey,1740,General Engineering,Overall,18,62,20,0,0
10007160,University of Surrey,1740,Economics and Econometrics,Overall,19,63,18,0,0
10007160,University of Surrey,1740,Business and Management Studies,Overall,11,51,34,4,0
10007160,University of Surrey,1740,Law,Overall,9,40,47,4,0
10007160,University of Surrey,1740,Politics and International Studies,Overall,10,16,46,28,0
10007160,University of Surrey,1740,Sociology,Overall,24,46,27,3,0
10007160,University of Surrey,1740,"Sport and Exercise Sciences, Leisure and Tourism",Overall,36,46,18,0,0
10007160,University of Surrey,1740,English Language and Literature,Overall,33,38,26,3,0
10007160,University of Surrey,1740,"Music, Drama, Dance and Performing Arts",Overall,20,50,24,6,0
10007806,University of Sussex,1750,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,38,44,16,1,1
10007806,University of Sussex,1750,"Psychology, Psychiatry and Neuroscience",Overall,45,46,9,0,0
10007806,University of Sussex,1750,Biological Sciences,Overall,48,39,9,1,3
10007806,University of Sussex,1750,Chemistry,Overall,11,50,36,0,3
10007806,University of Sussex,1750,Physics,Overall,17,60,22,0,1
10007806,University of Sussex,1750,Mathematical Sciences,Overall,11,61,25,3,0
10007806,University of Sussex,1750,Computer Science and Informatics,Overall,19,54,27,0,0
10007806,University of Sussex,1750,General Engineering,Overall,11,75,14,0,0
10007806,University of Sussex,1750,"Geography, Environmental Studies and Archaeology",Overall,28,51,19,2,0
10007806,University of Sussex,1750,Economics and Econometrics,Overall,17,53,28,1,1
10007806,University of Sussex,1750,Business and Management Studies,Overall,20,50,27,3,0
10007806,University of Sussex,1750,Law,Overall,13,51,27,9,0
10007806,University of Sussex,1750,Politics and International Studies,Overall,29,49,18,4,0
10007806,University of Sussex,1750,Social Work and Social Policy,Overall,22,42,32,4,0
10007806,University of Sussex,1750,Sociology,Overall,11,56,31,1,1
10007806,University of Sussex,1750,Anthropology and Development Studies,Overall,24,45,29,2,0
10007806,University of Sussex,1750,Education,Overall,25,48,24,3,0
10007806,University of Sussex,1750,Area Studies,Overall,21,51,25,3,0
10007806,University of Sussex,1750,English Language and Literature,Overall,45,39,15,1,0
10007806,University of Sussex,1750,History,Overall,39,44,16,1,0
10007806,University of Sussex,1750,Philosophy,Overall,25,52,19,4,0
10007806,University of Sussex,1750,"Art and Design: History, Practice and Theory",Overall,13,40,47,0,0
10007806,University of Sussex,1750,"Music, Drama, Dance and Performing Arts",Overall,15,63,22,0,0
10007806,University of Sussex,1750,"Communication, Cultural and Media Studies, Library and Information Management",Overall,41,36,22,1,0
10007161,Teesside University,1760,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,12,56,29,3,0
10007161,Teesside University,1760,Computer Science and Informatics,Overall,3,42,55,0,0
10007161,Teesside University,1760,General Engineering,Overall,4,55,41,0,0
10007161,Teesside University,1760,Business and Management Studies,Overall,8,29,49,6,8
10007161,Teesside University,1760,Social Work and Social Policy,Overall,15,72,10,3,0
10007161,Teesside University,1760,English Language and Literature,Overall,8,49,30,12,1
10007161,Teesside University,1760,History,Overall,13,60,23,4,0
10007161,Teesside University,1760,"Art and Design: History, Practice and Theory",Overall,7,23,31,36,3
10008017,Trinity Laban Conservatoire of Music and Dance,1770,"Music, Drama, Dance and Performing Arts",Overall,18,50,24,8,0
10007163,University of Warwick,1780,Clinical Medicine,Overall,24,57,19,0,0
10007163,University of Warwick,1780,"Public Health, Health Services and Primary Care",Overall,39,41,19,1,0
10007163,University of Warwick,1780,"Psychology, Psychiatry and Neuroscience",Overall,38,53,9,0,0
10007163,University of Warwick,1780,Biological Sciences,Overall,22,61,15,0,2
10007163,University of Warwick,1780,"Agriculture, Veterinary and Food Science",Overall,46,46,8,0,0
10007163,University of Warwick,1780,Chemistry,Overall,32,66,2,0,0
10007163,University of Warwick,1780,Physics,Overall,29,65,6,0,0
10007163,University of Warwick,1780,Mathematical Sciences,Overall,44,48,7,1,0
10007163,University of Warwick,1780,Computer Science and Informatics,Overall,56,41,3,0,0
10007163,University of Warwick,1780,General Engineering,Overall,32,58,10,0,0
10007163,University of Warwick,1780,Economics and Econometrics,Overall,45,51,4,0,0
10007163,University of Warwick,1780,Business and Management Studies,Overall,35,46,18,1,0
10007163,University of Warwick,1780,Law,Overall,38,48,13,1,0
10007163,University of Warwick,1780,Politics and International Studies,Overall,43,37,16,4,0
10007163,University of Warwick,1780,Sociology,Overall,18,45,32,5,0
10007163,University of Warwick,1780,Education,Overall,32,44,20,4,0
10007163,University of Warwick,1780,Modern Languages and Linguistics,Overall,30,53,13,4,0
10007163,University of Warwick,1780,English Language and Literature,Overall,58,37,5,0,0
10007163,University of Warwick,1780,History,Overall,46,37,16,1,0
10007163,University of Warwick,1780,Classics,Overall,28,52,20,0,0
10007163,University of Warwick,1780,Philosophy,Overall,34,56,9,0,1
10007163,University of Warwick,1780,"Art and Design: History, Practice and Theory",Overall,40,39,21,0,0
10007163,University of Warwick,1780,"Music, Drama, Dance and Performing Arts",Overall,48,45,7,0,0
10007164,"University of the West of England, Bristol",1800,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,28,51,20,1,0
10007164,"University of the West of England, Bristol",1800,"Agriculture, Veterinary and Food Science",Overall,14,49,35,2,0
10007164,"University of the West of England, Bristol",1800,Computer Science and Informatics,Overall,13,55,26,6,0
10007164,"University of the West of England, Bristol",1800,General Engineering,Overall,10,65,25,0,0
10007164,"University of the West of England, Bristol",1800,"Architecture, Built Environment and Planning",Overall,10,54,33,3,0
10007164,"University of the West of England, Bristol",1800,"Geography, Environmental Studies and Archaeology",Overall,7,30,45,15,3
10007164,"University of the West of England, Bristol",1800,Business and Management Studies,Overall,10,43,43,4,0
10007164,"University of the West of England, Bristol",1800,Law,Overall,4,38,50,8,0
10007164,"University of the West of England, Bristol",1800,Politics and International Studies,Overall,6,28,37,25,4
10007164,"University of the West of England, Bristol",1800,Social Work and Social Policy,Overall,5,41,39,15,0
10007164,"University of the West of England, Bristol",1800,Education,Overall,20,33,44,3,0
10007164,"University of the West of England, Bristol",1800,Modern Languages and Linguistics,Overall,9,35,46,10,0
10007164,"University of the West of England, Bristol",1800,English Language and Literature,Overall,25,41,24,10,0
10007164,"University of the West of England, Bristol",1800,History,Overall,13,53,32,2,0
10007164,"University of the West of England, Bristol",1800,Philosophy,Overall,11,32,48,9,0
10007164,"University of the West of England, Bristol",1800,"Art and Design: History, Practice and Theory",Overall,25,43,28,3,1
10007164,"University of the West of England, Bristol",1800,"Communication, Cultural and Media Studies, Library and Information Management",Overall,27,46,21,5,1
10006566,The University of West London,1810,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,5,29,43,23,0
10006566,The University of West London,1810,Computer Science and Informatics,Overall,0,8,36,55,1
10006566,The University of West London,1810,Education,Overall,5,20,41,32,2
10006566,The University of West London,1810,"Music, Drama, Dance and Performing Arts",Overall,7,21,28,41,3
10006566,The University of West London,1810,"Communication, Cultural and Media Studies, Library and Information Management",Overall,24,11,34,24,7
10007165,University of Westminster,1830,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,15,55,24,2,4
10007165,University of Westminster,1830,"Psychology, Psychiatry and Neuroscience",Overall,7,55,37,1,0
10007165,University of Westminster,1830,Computer Science and Informatics,Overall,0,26,52,21,1
10007165,University of Westminster,1830,"Architecture, Built Environment and Planning",Overall,20,45,30,5,0
10007165,University of Westminster,1830,Business and Management Studies,Overall,8,26,51,15,0
10007165,University of Westminster,1830,Law,Overall,5,48,39,8,0
10007165,University of Westminster,1830,Politics and International Studies,Overall,7,57,33,3,0
10007165,University of Westminster,1830,Area Studies,Overall,22,27,50,1,0
10007165,University of Westminster,1830,Modern Languages and Linguistics,Overall,0,39,29,24,8
10007165,University of Westminster,1830,English Language and Literature,Overall,34,45,19,2,0
10007165,University of Westminster,1830,History,Overall,12,35,32,17,4
10007165,University of Westminster,1830,"Art and Design: History, Practice and Theory",Overall,45,46,9,0,0
10007165,University of Westminster,1830,"Communication, Cultural and Media Studies, Library and Information Management",Overall,52,35,11,2,0
10003614,University of Winchester,1860,"Psychology, Psychiatry and Neuroscience",Overall,2,24,32,42,0
10003614,University of Winchester,1860,"Geography, Environmental Studies and Archaeology",Overall,3,20,53,24,0
10003614,University of Winchester,1860,Sociology,Overall,0,19,49,30,2
10003614,University of Winchester,1860,Education,Overall,12,35,42,9,2
10003614,University of Winchester,1860,History,Overall,10,43,43,4,0
10003614,University of Winchester,1860,Theology and Religious Studies,Overall,6,36,43,15,0
10003614,University of Winchester,1860,"Music, Drama, Dance and Performing Arts",Overall,9,41,36,9,5
10003614,University of Winchester,1860,"Communication, Cultural and Media Studies, Library and Information Management",Overall,14,47,27,8,4
10007166,University of Wolverhampton,1880,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,11,43,38,5,3
10007166,University of Wolverhampton,1880,"Aeronautical, Mechanical, Chemical and Manufacturing Engineering",Overall,1,21,75,3,0
10007166,University of Wolverhampton,1880,"Architecture, Built Environment and Planning",Overall,5,21,53,20,1
10007166,University of Wolverhampton,1880,Business and Management Studies,Overall,4,25,50,21,0
10007166,University of Wolverhampton,1880,Law,Overall,6,6,51,29,8
10007166,University of Wolverhampton,1880,Education,Overall,5,36,54,5,0
10007166,University of Wolverhampton,1880,"Sport and Exercise Sciences, Leisure and Tourism",Overall,4,40,45,11,0
10007166,University of Wolverhampton,1880,Area Studies,Overall,2,27,55,12,4
10007166,University of Wolverhampton,1880,Modern Languages and Linguistics,Overall,11,38,39,10,2
10007166,University of Wolverhampton,1880,English Language and Literature,Overall,4,28,41,19,8
10007166,University of Wolverhampton,1880,History,Overall,7,48,39,6,0
10007166,University of Wolverhampton,1880,"Art and Design: History, Practice and Theory",Overall,7,36,33,16,8
10007166,University of Wolverhampton,1880,"Communication, Cultural and Media Studies, Library and Information Management",Overall,48,41,11,0,0
10007139,University of Worcester,1890,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,2,31,42,15,10
10007139,University of Worcester,1890,"Psychology, Psychiatry and Neuroscience",Overall,2,33,34,26,5
10007139,University of Worcester,1890,Biological Sciences,Overall,6,33,44,13,4
10007139,University of Worcester,1890,"Geography, Environmental Studies and Archaeology",Overall,2,25,51,22,0
10007139,University of Worcester,1890,Business and Management Studies,Overall,0,9,47,44,0
10007139,University of Worcester,1890,Education,Overall,7,22,21,46,4
10007139,University of Worcester,1890,"Sport and Exercise Sciences, Leisure and Tourism",Overall,4,32,50,12,2
10007139,University of Worcester,1890,English Language and Literature,Overall,7,28,49,11,5
10007139,University of Worcester,1890,History,Overall,13,43,28,16,0
10007139,University of Worcester,1890,"Art and Design: History, Practice and Theory",Overall,14,27,38,21,0
10007139,University of Worcester,1890,"Music, Drama, Dance and Performing Arts",Overall,0,33,47,12,8
10007657,Writtle College,1900,"Agriculture, Veterinary and Food Science",Overall,0,20,29,28,23
10007657,Writtle College,1900,"Art and Design: History, Practice and Theory",Overall,0,10,13,30,47
10007167,University of York,1920,"Public Health, Health Services and Primary Care",Overall,42,41,16,1,0
10007167,University of York,1920,"Psychology, Psychiatry and Neuroscience",Overall,51,44,5,0,0
10007167,University of York,1920,Biological Sciences,Overall,47,43,10,0,0
10007167,University of York,1920,Earth Systems and Environmental Sciences,Overall,14,56,26,4,0
10007167,University of York,1920,Chemistry,Overall,27,67,6,0,0
10007167,University of York,1920,Physics,Overall,21,56,18,5,0
10007167,University of York,1920,Mathematical Sciences,Overall,17,63,20,0,0
10007167,University of York,1920,Computer Science and Informatics,Overall,44,46,10,0,0
10007167,University of York,1920,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,4,83,13,0,0
10007167,University of York,1920,"Geography, Environmental Studies and Archaeology",Overall,42,31,21,6,0
10007167,University of York,1920,Economics and Econometrics,Overall,17,60,22,1,0
10007167,University of York,1920,Business and Management Studies,Overall,23,45,28,4,0
10007167,University of York,1920,Law,Overall,46,44,8,0,2
10007167,University of York,1920,Politics and International Studies,Overall,37,43,19,1,0
10007167,University of York,1920,Social Work and Social Policy,Overall,54,33,12,0,1
10007167,University of York,1920,Sociology,Overall,41,46,12,1,0
10007167,University of York,1920,Education,Overall,44,37,15,3,1
10007167,University of York,1920,Modern Languages and Linguistics,Overall,45,40,7,2,6
10007167,University of York,1920,English Language and Literature,Overall,61,27,12,0,0
10007167,University of York,1920,History,Overall,42,47,11,0,0
10007167,University of York,1920,Philosophy,Overall,14,50,32,4,0
10007167,University of York,1920,"Art and Design: History, Practice and Theory",Overall,47,36,16,1,0
10007167,University of York,1920,"Music, Drama, Dance and Performing Arts",Overall,29,50,17,4,0
10007167,University of York,1920,"Music, Drama, Dance and Performing Arts",Overall,11,64,25,0,0
10007713,York St John University,1930,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,3,35,37,22,3
10007713,York St John University,1930,"Psychology, Psychiatry and Neuroscience",Overall,13,40,29,16,2
10007713,York St John University,1930,Business and Management Studies,Overall,0,8,40,30,22
10007713,York St John University,1930,Education,Overall,3,10,53,26,8
10007713,York St John University,1930,"Sport and Exercise Sciences, Leisure and Tourism",Overall,6,27,52,15,0
10007713,York St John University,1930,English Language and Literature,Overall,9,28,35,24,4
10007713,York St John University,1930,Theology and Religious Studies,Overall,2,23,57,16,2
10007713,York St John University,1930,"Music, Drama, Dance and Performing Arts",Overall,13,23,47,14,3
10007713,York St John University,1930,"Communication, Cultural and Media Studies, Library and Information Management",Overall,5,29,28,27,11
NA,Institute of Zoology,2000,Earth Systems and Environmental Sciences,Overall,22,68,10,0,0
10007783,University of Aberdeen,6670,Clinical Medicine,Overall,25,42,31,1,1
10007783,University of Aberdeen,6670,"Public Health, Health Services and Primary Care",Overall,34,47,19,0,0
10007783,University of Aberdeen,6670,"Psychology, Psychiatry and Neuroscience",Overall,29,65,6,0,0
10007783,University of Aberdeen,6670,Biological Sciences,Overall,30,53,16,0,1
10007783,University of Aberdeen,6670,"Agriculture, Veterinary and Food Science",Overall,56,36,8,0,0
10007783,University of Aberdeen,6670,Earth Systems and Environmental Sciences,Overall,18,71,10,1,0
10007783,University of Aberdeen,6670,Chemistry,Overall,14,66,20,0,0
10007783,University of Aberdeen,6670,Mathematical Sciences,Overall,14,62,24,0,0
10007783,University of Aberdeen,6670,Computer Science and Informatics,Overall,22,52,26,0,0
10007783,University of Aberdeen,6670,General Engineering,Overall,12,70,18,0,0
10007783,University of Aberdeen,6670,"Architecture, Built Environment and Planning",Overall,39,47,12,2,0
10007783,University of Aberdeen,6670,"Geography, Environmental Studies and Archaeology",Overall,13,53,32,2,0
10007783,University of Aberdeen,6670,Economics and Econometrics,Overall,3,51,37,9,0
10007783,University of Aberdeen,6670,Business and Management Studies,Overall,31,42,25,2,0
10007783,University of Aberdeen,6670,Law,Overall,15,49,33,3,0
10007783,University of Aberdeen,6670,Politics and International Studies,Overall,7,43,37,13,0
10007783,University of Aberdeen,6670,Sociology,Overall,14,58,28,0,0
10007783,University of Aberdeen,6670,Anthropology and Development Studies,Overall,23,35,37,5,0
10007783,University of Aberdeen,6670,Education,Overall,8,59,29,4,0
10007783,University of Aberdeen,6670,Modern Languages and Linguistics,Overall,21,41,26,12,0
10007783,University of Aberdeen,6670,English Language and Literature,Overall,31,62,7,0,0
10007783,University of Aberdeen,6670,History,Overall,26,44,29,1,0
10007783,University of Aberdeen,6670,Philosophy,Overall,31,31,20,18,0
10007783,University of Aberdeen,6670,Theology and Religious Studies,Overall,29,39,24,7,1
10007783,University of Aberdeen,6670,"Music, Drama, Dance and Performing Arts",Overall,15,51,23,8,3
10007849,University of Abertay Dundee,6680,"Psychology, Psychiatry and Neuroscience",Overall,12,51,35,2,0
10007849,University of Abertay Dundee,6680,Biological Sciences,Overall,2,13,44,25,16
10007849,University of Abertay Dundee,6680,Earth Systems and Environmental Sciences,Overall,2,48,49,1,0
10007849,University of Abertay Dundee,6680,General Engineering,Overall,3,20,60,16,1
10007849,University of Abertay Dundee,6680,Law,Overall,0,9,53,30,8
10007849,University of Abertay Dundee,6680,Sociology,Overall,5,17,51,27,0
10007849,University of Abertay Dundee,6680,"Sport and Exercise Sciences, Leisure and Tourism",Overall,19,19,58,4,0
10007852,University of Dundee,6720,Clinical Medicine,Overall,28,50,20,2,0
10007852,University of Dundee,6720,"Public Health, Health Services and Primary Care",Overall,24,44,27,5,0
10007852,University of Dundee,6720,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,24,61,14,0,1
10007852,University of Dundee,6720,"Psychology, Psychiatry and Neuroscience",Overall,31,58,10,0,1
10007852,University of Dundee,6720,Biological Sciences,Overall,58,35,6,1,0
10007852,University of Dundee,6720,Mathematical Sciences,Overall,27,67,6,0,0
10007852,University of Dundee,6720,Computer Science and Informatics,Overall,32,47,21,0,0
10007852,University of Dundee,6720,Civil and Construction Engineering,Overall,41,49,10,0,0
10007852,University of Dundee,6720,General Engineering,Overall,38,55,7,0,0
10007852,University of Dundee,6720,"Architecture, Built Environment and Planning",Overall,7,16,55,14,8
10007852,University of Dundee,6720,"Geography, Environmental Studies and Archaeology",Overall,18,53,25,4,0
10007852,University of Dundee,6720,Business and Management Studies,Overall,9,29,47,13,2
10007852,University of Dundee,6720,Law,Overall,16,47,37,0,0
10007852,University of Dundee,6720,Politics and International Studies,Overall,6,18,61,15,0
10007852,University of Dundee,6720,Social Work and Social Policy,Overall,28,28,37,5,2
10007852,University of Dundee,6720,Education,Overall,9,65,22,4,0
10007852,University of Dundee,6720,English Language and Literature,Overall,24,50,26,0,0
10007852,University of Dundee,6720,History,Overall,16,49,31,4,0
10007852,University of Dundee,6720,Philosophy,Overall,14,41,44,1,0
10007852,University of Dundee,6720,"Art and Design: History, Practice and Theory",Overall,34,38,24,4,0
10007790,University of Edinburgh,6730,Clinical Medicine,Overall,44,44,11,0,1
10007790,University of Edinburgh,6730,"Psychology, Psychiatry and Neuroscience",Overall,49,38,12,1,0
10007790,University of Edinburgh,6730,Biological Sciences,Overall,56,35,7,1,1
10007790,University of Edinburgh,6730,"Agriculture, Veterinary and Food Science",Overall,42,32,23,3,0
10007790,University of Edinburgh,6730,Earth Systems and Environmental Sciences,Overall,21,57,17,5,0
10007790,University of Edinburgh,6730,Chemistry,Overall,28,67,5,0,0
10007790,University of Edinburgh,6730,Physics,Overall,37,59,4,0,0
10007790,University of Edinburgh,6730,Mathematical Sciences,Overall,29,56,15,0,0
10007790,University of Edinburgh,6730,Computer Science and Informatics,Overall,40,45,11,2,2
10007790,University of Edinburgh,6730,General Engineering,Overall,36,58,6,0,0
10007790,University of Edinburgh,6730,"Architecture, Built Environment and Planning",Overall,36,37,23,4,0
10007790,University of Edinburgh,6730,"Geography, Environmental Studies and Archaeology",Overall,7,43,44,6,0
10007790,University of Edinburgh,6730,Economics and Econometrics,Overall,30,55,14,1,0
10007790,University of Edinburgh,6730,Business and Management Studies,Overall,29,48,21,2,0
10007790,University of Edinburgh,6730,Law,Overall,42,35,22,1,0
10007790,University of Edinburgh,6730,Politics and International Studies,Overall,38,35,23,4,0
10007790,University of Edinburgh,6730,Social Work and Social Policy,Overall,40,41,17,2,0
10007790,University of Edinburgh,6730,Sociology,Overall,34,49,16,1,0
10007790,University of Edinburgh,6730,Anthropology and Development Studies,Overall,33,37,29,1,0
10007790,University of Edinburgh,6730,Education,Overall,43,36,20,1,0
10007790,University of Edinburgh,6730,"Sport and Exercise Sciences, Leisure and Tourism",Overall,22,46,30,2,0
10007790,University of Edinburgh,6730,Area Studies,Overall,21,52,25,1,1
10007790,University of Edinburgh,6730,Modern Languages and Linguistics,Overall,31,39,25,5,0
10007790,University of Edinburgh,6730,Modern Languages and Linguistics,Overall,45,42,11,1,1
10007790,University of Edinburgh,6730,English Language and Literature,Overall,33,47,18,2,0
10007790,University of Edinburgh,6730,History,Overall,32,51,15,2,0
10007790,University of Edinburgh,6730,Classics,Overall,27,40,30,3,0
10007790,University of Edinburgh,6730,Philosophy,Overall,37,47,15,1,0
10007790,University of Edinburgh,6730,Theology and Religious Studies,Overall,34,44,19,3,0
10007790,University of Edinburgh,6730,"Art and Design: History, Practice and Theory",Overall,33,45,18,4,0
10007790,University of Edinburgh,6730,"Music, Drama, Dance and Performing Arts",Overall,42,32,21,3,2
10007772,Edinburgh Napier University,6750,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,9,51,38,0,2
10007772,Edinburgh Napier University,6750,Earth Systems and Environmental Sciences,Overall,7,46,47,0,0
10007772,Edinburgh Napier University,6750,Computer Science and Informatics,Overall,3,54,35,8,0
10007772,Edinburgh Napier University,6750,"Electrical and Electronic Engineering, Metallurgy and Materials",Overall,1,41,45,12,1
10007772,Edinburgh Napier University,6750,Civil and Construction Engineering,Overall,3,34,36,19,8
10007772,Edinburgh Napier University,6750,"Architecture, Built Environment and Planning",Overall,14,36,36,14,0
10007772,Edinburgh Napier University,6750,Business and Management Studies,Overall,9,39,43,8,1
10007772,Edinburgh Napier University,6750,English Language and Literature,Overall,26,38,33,3,0
10007772,Edinburgh Napier University,6750,"Communication, Cultural and Media Studies, Library and Information Management",Overall,24,48,26,2,0
10007794,University of Glasgow,6760,Clinical Medicine,Overall,40,43,15,1,1
10007794,University of Glasgow,6760,"Public Health, Health Services and Primary Care",Overall,25,54,20,1,0
10007794,University of Glasgow,6760,"Allied Health Professions, Dentistry, Nursing and Pharmacy",Overall,30,63,6,0,1
10007794,University of Glasgow,6760,"Psychology, Psychiatry and Neuroscience",Overall,44,35,20,0,1
