UKPRN,UnitOfAssessment,MultipleSubmission,Profile,FourStar,ThreeStar,TwoStar,OneStar,Unclassified
10005553,5,,Outputs,18.5,58,21,2.5,0
10005553,5,,Overall,15,61,22,2,0
10007156,5,,Environment,0,37.5,50,12.5,0
10007156,5,,Impact,0,53.3,46.7,0,0
10007156,5,,Outputs,7.1,37.8,51,1,3.1
10007156,5,,Overall,5,40,50,3,2
10007157,5,,Environment,87.5,12.5,0,0,0
10007157,5,,Impact,52,48,0,0,0
10007157,5,,Outputs,37.7,50.3,11.4,0.6,0
10007157,5,,Overall,48,44,8,0,0
10005790,5,,Environment,0,12.5,62.5,25,0
10005790,5,,Impact,0,46.7,53.3,0,0
10005790,5,,Outputs,7.8,45.1,43.2,3.9,0
10005790,5,,Overall,5,41,48,6,0
10007158,5,,Environment,0,87.5,12.5,0,0
10007158,5,,Impact,40,60,0,0,0
10007158,5,,Outputs,16.1,59.8,23.2,0.9,0
10007158,5,,Overall,18,64,17,1,0
10007806,5,,Environment,62.5,37.5,0,0,0
10007806,5,,Impact,43.3,43.4,13.3,0,0
10007806,5,,Outputs,45.7,39.1,9.2,1.7,4.3
10007806,5,,Overall,48,39,9,1,3
10007163,5,,Environment,0,100,0,0,0
10007163,5,,Impact,16,68,16,0,0
10007163,5,,Outputs,28.5,50.9,18.2,0,2.4
10007163,5,,Overall,22,61,15,0,2
10007139,5,,Environment,0,0,50,50,0
10007139,5,,Impact,0,80,20,0,0
10007139,5,,Outputs,8.8,26.5,50,8.8,5.9
10007139,5,,Overall,6,33,44,13,4
10007167,5,,Environment,50,50,0,0,0
10007167,5,,Impact,92,8,0,0,0
10007167,5,,Outputs,32.2,51.7,15.5,0,0.6
10007167,5,,Overall,47,43,10,0,0
10007783,5,,Environment,62.5,37.5,0,0,0
10007783,5,,Impact,40,60,0,0,0
10007783,5,,Outputs,19,54.2,25.6,0.3,0.9
10007783,5,,Overall,30,53,16,0,1
10007849,5,,Environment,0,0,62.5,37.5,0
10007849,5,,Impact,0,10,10,40,40
10007849,5,,Outputs,3.7,16.7,50,16.6,13
10007849,5,,Overall,2,13,44,25,16
10007852,5,,Environment,100,0,0,0,0
10007852,5,,Impact,75,25,0,0,0
10007852,5,,Outputs,42.8,46.7,8.9,1.2,0.4
10007852,5,,Overall,58,35,6,1,0
10007790,5,,Environment,100,0,0,0,0
10007790,5,,Impact,80,20,0,0,0
10007790,5,,Outputs,38.7,46.9,11.8,0.5,2.1
10007790,5,,Overall,56,35,7,1,1
10007794,5,,Environment,0,87.5,12.5,0,0
10007794,5,,Impact,38.6,55.7,5.7,0,0
10007794,5,,Outputs,21.8,50.5,26.2,1,0.5
10007794,5,,Overall,22,57,20,1,0
10007803,5,,Environment,0,100,0,0,0
10007803,5,,Impact,90,10,0,0,0
10007803,5,,Outputs,22.9,52.4,23.5,0.6,0.6
10007803,5,,Overall,33,51,15,1,0
10007814,5,,Environment,62.5,37.5,0,0,0
10007814,5,,Impact,60,40,0,0,0
10007814,5,,Outputs,31.1,45,20.3,2.2,1.4
10007814,5,,Overall,42,42,14,1,1
